product,delivery,date,open,high,low,close,settlement,volume,open_interest
ag,1209,2012-05-10,6190,6196,6082,6140,6126,259996,33726
ag,1210,2012-05-10,6196,6230,6104,6160,6164,598,78
ag,1211,2012-05-10,6200,6200,6113,6179,6164,174,42
ag,1212,2012-05-10,6166,6188,6118,6168,6152,87484,15430
ag,1301,2012-05-10,6166,6257,6129,6177,6162,394,94
ag,1302,2012-05-10,6036,6237,6035,6185,6144,462,46
ag,1303,2012-05-10,6214,6214,6125,6151,6158,48,24
ag,1304,2012-05-10,6160,6160,6150,6156,6154,8,8
ag,1209,2012-05-11,6110,6115,6000,6002,6056,206804,55020
ag,1210,2012-05-11,6110,6114,6040,6040,6074,364,288
ag,1211,2012-05-11,6118,6120,6051,6051,6091,56,50
ag,1212,2012-05-11,6115,6130,6029,6034,6085,46950,17898
ag,1301,2012-05-11,6136,6141,6046,6050,6100,126,112
ag,1302,2012-05-11,6135,6135,6073,6073,6112,80,56
ag,1303,2012-05-11,6108,6114,6086,6086,6100,82,64
ag,1304,2012-05-11,6114,6114,6114,6114,6114,4,12
ag,1209,2012-05-14,6040,6045,5960,5976,5999,207668,57028
ag,1210,2012-05-14,6070,6070,5979,5991,6022,314,356
ag,1211,2012-05-14,6034,6035,6002,6002,6017,28,36
ag,1212,2012-05-14,6070,6079,5978,5994,6026,36858,21310
ag,1301,2012-05-14,6054,6059,6020,6021,6045,48,92
ag,1302,2012-05-14,6096,6096,6053,6053,6079,8,56
ag,1303,2012-05-14,6090,6090,6066,6066,6077,8,66
ag,1304,2012-05-14,6029,6077,6029,6077,6053,4,12
ag,1209,2012-05-15,5895,5910,5711,5842,5813,445150,82238
ag,1210,2012-05-15,5917,5922,5740,5832,5852,58,364
ag,1211,2012-05-15,5868,5868,5757,5839,5830,12,34
ag,1212,2012-05-15,5900,5929,5740,5861,5841,64200,25590
ag,1301,2012-05-15,5924,5925,5800,5900,5844,364,214
ag,1302,2012-05-15,5942,5942,5825,5846,5871,18,48
ag,1303,2012-05-15,5968,5968,5802,5802,5853,64,90
ag,1304,2012-05-15,5965,5965,5811,5919,5835,180,160
ag,1209,2012-05-16,5750,5786,5643,5647,5704,599202,108376
ag,1210,2012-05-16,5733,5808,5664,5664,5730,76,370
ag,1211,2012-05-16,5771,5771,5665,5665,5722,36,58
ag,1212,2012-05-16,5763,5796,5658,5661,5719,81578,31664
ag,1301,2012-05-16,5742,5815,5695,5715,5736,212,220
ag,1302,2012-05-16,5764,5797,5698,5698,5739,8,46
ag,1303,2012-05-16,5764,5801,5750,5750,5760,16,96
ag,1304,2012-05-16,5835,5835,5745,5745,5771,12,166
ag,1305,2012-05-16,5726,5726,5726,5726,5726,2,2
ag,1209,2012-05-17,5705,5787,5691,5763,5748,558288,89738
ag,1210,2012-05-17,5680,5801,5680,5763,5760,70,360
ag,1211,2012-05-17,5736,5794,5736,5793,5762,36,52
ag,1212,2012-05-17,5711,5810,5711,5794,5771,78580,27696
ag,1301,2012-05-17,5786,5830,5770,5820,5800,130,228
ag,1302,2012-05-17,5758,5845,5757,5845,5786,18,44
ag,1303,2012-05-17,5803,5857,5803,5853,5854,46,96
ag,1304,2012-05-17,5787,5864,5787,5819,5853,52,164
ag,1305,2012-05-17,5854,5920,5740,5852,5834,22,2
ag,1209,2012-05-18,5808,5881,5768,5863,5827,695576,92162
ag,1210,2012-05-18,5799,5886,5790,5870,5832,86,352
ag,1211,2012-05-18,5814,5885,5814,5877,5872,26,50
ag,1212,2012-05-18,5854,5913,5797,5896,5858,109458,30150
ag,1301,2012-05-18,5870,5937,5826,5924,5894,340,264
ag,1302,2012-05-18,5935,5935,5935,5935,5935,2,46
ag,1303,2012-05-18,5896,6033,5896,5921,5940,18,98
ag,1304,2012-05-18,5864,5970,5859,5970,5937,138,164
ag,1305,2012-05-18,5894,5921,5894,5921,5907,12,2
ag,1209,2012-05-21,5957,5964,5903,5940,5932,405766,97686
ag,1210,2012-05-21,5946,5957,5925,5925,5943,92,360
ag,1211,2012-05-21,5975,5975,5946,5946,5961,34,46
ag,1212,2012-05-21,5971,5995,5926,5961,5956,66012,26830
ag,1301,2012-05-21,5962,6002,5950,5962,5986,656,454
ag,1302,2012-05-21,5978,5982,5978,5982,5980,4,44
ag,1303,2012-05-21,6006,6036,5994,5999,6008,8,98
ag,1304,2012-05-21,6032,6061,6002,6019,6031,42,158
ag,1305,2012-05-21,5960,5990,5960,5990,5975,4,4
ag,1209,2012-05-22,5920,5930,5882,5890,5903,371088,90716
ag,1210,2012-05-22,5929,5939,5899,5899,5920,162,318
ag,1211,2012-05-22,5932,5945,5912,5916,5923,74,60
ag,1212,2012-05-22,5951,5952,5908,5919,5926,42728,28110
ag,1301,2012-05-22,5944,5955,5925,5925,5936,344,354
ag,1302,2012-05-22,5940,5959,5940,5959,5949,4,44
ag,1303,2012-05-22,5981,5981,5966,5966,5971,8,96
ag,1304,2012-05-22,5997,5998,5982,5982,5991,20,154
