product,delivery,date,open,high,low,close,settlement,volume,open_interest
au,0806,2008-01-09,230.95,230.99,221.88,223.3,224.74,103364,16342
au,0807,2008-01-09,230.99,230.99,223,224.3,226.98,12116,2656
au,0808,2008-01-09,230.99,230.99,224.1,225.33,227.49,3910,1816
au,0809,2008-01-09,230.99,230.99,226,226.6,228.97,656,214
au,0810,2008-01-09,230.99,230.99,227,227.87,229.71,330,176
au,0811,2008-01-09,230.99,230.99,227.73,227.73,229.98,268,136
au,0812,2008-01-09,230.99,230.99,227.25,228.6,229.93,824,470
au,0806,2008-01-10,222.5,222.85,213.7,215.12,217.68,87984,23494
au,0807,2008-01-10,224,224,215.63,216.2,218.72,5432,2768
au,0808,2008-01-10,225.33,225.33,216.11,217.64,220.31,952,1854
au,0809,2008-01-10,223.3,225.33,217.52,217.52,220.87,102,218
au,0810,2008-01-10,226,226,218.22,218.22,222.21,68,180
au,0811,2008-01-10,226.98,226.98,218.5,219.2,221.14,92,182
au,0812,2008-01-10,228,228.29,218.43,219.37,223.15,434,654
au,0806,2008-01-11,218,219.23,215.5,218.1,217.79,85418,25424
au,0807,2008-01-11,218.58,219.97,216.5,218.03,218.36,3104,2882
au,0808,2008-01-11,219.01,220.85,217.51,218.88,219.01,1862,2702
au,0809,2008-01-11,220,221,218.53,219.79,219.86,84,230
au,0810,2008-01-11,220.13,221.55,219.45,220.9,220.32,44,186
au,0811,2008-01-11,222.1,222.11,220.1,220.1,221.34,14,184
au,0812,2008-01-11,222,223.68,220.11,221,221.78,356,806
au,0806,2008-01-14,218.85,220.25,217.6,220.1,219.28,60776,27714
au,0807,2008-01-14,219,220.47,217.63,220.32,219.47,2040,2702
au,0808,2008-01-14,219.2,220.98,218.71,220.9,220.01,338,2724
au,0809,2008-01-14,211,221.9,211,221.5,219.78,74,238
au,0810,2008-01-14,220.1,222.28,220.1,222.28,221.02,6,186
au,0811,2008-01-14,211.34,224.55,211.34,224.55,220.84,30,188
au,0812,2008-01-14,221.1,223.8,221.1,223.69,222.69,178,816
au,0806,2008-01-15,220.7,224.6,220.3,223.8,223.11,88242,29866
au,0807,2008-01-15,220.66,224.82,220.56,224.26,223.27,1640,2658
au,0808,2008-01-15,221.1,225,221.1,224.33,223.78,514,2840
au,0809,2008-01-15,222.3,225.58,222,223.9,223.52,52,244
au,0810,2008-01-15,222.28,225.28,222.28,224.2,224.49,30,180
au,0811,2008-01-15,224.7,227,223.32,226.65,225.56,28,198
au,0812,2008-01-15,223.99,226.78,223.99,225.99,225.68,688,1200
au,0806,2008-01-16,220.6,220.6,215.4,215.89,217.51,94362,29582
au,0807,2008-01-16,222,222,216.11,216.3,217.98,2416,2762
au,0808,2008-01-16,221.2,221.2,214.33,216.48,217.73,784,2888
au,0809,2008-01-16,221,222.99,217.2,217.4,218.67,122,276
au,0810,2008-01-16,221,221,217.23,218.4,219.01,32,186
au,0811,2008-01-16,219.5,222.99,218.02,219.45,220.22,32,188
au,0812,2008-01-16,222,223.4,218.83,218.88,221.21,368,1300
au,0901,2008-01-16,224.11,231,218.52,218.52,225.44,22,2
au,0806,2008-01-17,214.03,216.8,213.5,216.47,215.5,61962,30916
au,0807,2008-01-17,212.97,217.39,212.97,216.8,215.71,868,2684
au,0808,2008-01-17,214,217.2,211.72,217,215.96,550,2886
au,0809,2008-01-17,214.3,217.85,214.17,217,216.22,48,274
au,0810,2008-01-17,217.1,218,215.97,218,217.02,32,188
au,0811,2008-01-17,216.86,218,216,218,217.19,24,184
au,0812,2008-01-17,211.26,218.8,211.26,218.8,217.38,488,1578
au,0901,2008-01-17,,,,218.52,225.44,0,2
au,0806,2008-01-18,214,214.9,212.42,214.7,213.72,58006,29538
au,0807,2008-01-18,205,215,205,214.7,213.98,882,2580
au,0808,2008-01-18,215,215.5,212.32,214.98,214.29,346,2880
au,0809,2008-01-18,214.62,215.5,213.03,214.8,214.25,56,286
au,0810,2008-01-18,214.7,216.3,210,215.7,214.8,40,190
au,0811,2008-01-18,215,215.3,213.32,215.3,214.69,12,184
au,0812,2008-01-18,216.5,216.67,212.45,216,215.14,236,1576
au,0901,2008-01-18,221.99,221.99,214.3,215.5,217.64,20,2
au,0806,2008-01-21,214.7,216.33,213.8,214.2,215.2,43510,30294
au,0807,2008-01-21,214.6,216.47,213.75,213.75,215.21,388,2530
au,0808,2008-01-21,214.3,215.9,214.2,214.51,215.27,662,2892
au,0809,2008-01-21,216.99,216.99,215.03,215.03,215.93,22,282
au,0810,2008-01-21,216.2,216.2,215.55,215.55,215.88,18,188
au,0811,2008-01-21,210.03,219.01,210.03,215.8,214.94,6,184
au,0812,2008-01-21,215.9,217.39,215.2,215.5,216.53,196,1590
au,0901,2008-01-21,,,,215.5,217.64,0,2
au,0806,2008-01-22,208,209.5,204.72,206.42,207.58,78532,29326
au,0807,2008-01-22,206.6,211.94,205.11,206.68,207.34,916,2510
au,0808,2008-01-22,209.99,209.99,204.8,206.7,207.25,574,2822
au,0809,2008-01-22,210,210.49,207,207,209.53,116,328
au,0810,2008-01-22,210.8,210.8,209,209,209.52,10,190
au,0811,2008-01-22,207.43,211.36,205.72,205.72,208.95,16,188
au,0812,2008-01-22,210.5,211,206.88,208,209.28,314,1612
au,0901,2008-01-22,,,,215.5,217.64,0,2
au,0806,2008-01-23,212,214.25,210.9,212.51,212.59,60988,26596
au,0807,2008-01-23,215.71,215.71,210.64,213,212.78,910,2504
au,0808,2008-01-23,214.99,214.99,210.9,212.6,212.43,308,2824
au,0809,2008-01-23,214.26,214.5,212,213.58,212.97,56,314
au,0810,2008-01-23,214.98,214.98,212.92,212.92,213.31,14,190
au,0811,2008-01-23,214.48,214.58,212.84,213.77,213.96,16,182
au,0812,2008-01-23,214.21,215.88,212.83,213.5,214.38,190,1608
au,0901,2008-01-23,,,,215.5,217.64,0,2
au,0806,2008-01-24,213.02,217.08,212.61,216.7,214.41,57962,30156
au,0807,2008-01-24,213.61,216.9,212.66,216.55,214.86,544,2472
au,0808,2008-01-24,212.6,216.58,212,216.5,214.46,358,2824
au,0809,2008-01-24,213.11,217.58,213,217.58,214.46,90,308
au,0810,2008-01-24,213.73,216.98,212,216.98,214.47,16,188
au,0811,2008-01-24,208,216.1,208,216.1,212.65,120,204
au,0812,2008-01-24,214.11,218,213.66,217.88,215.59,272,1670
au,0901,2008-01-24,,,,215.5,217.64,0,2
au,0806,2008-01-25,220.1,221.4,218.32,219.8,219.81,72624,32428
au,0807,2008-01-25,219.21,221.11,218.41,219.81,219.57,1076,2446
au,0808,2008-01-25,221,221.02,218.18,219.6,219.65,396,2816
au,0809,2008-01-25,220.1,221.34,218.98,219.98,219.71,108,312
au,0810,2008-01-25,219.01,220.2,218.32,219.6,219.11,12,188
au,0811,2008-01-25,219.01,220.8,218.56,220.8,219.76,22,206
au,0812,2008-01-25,219.99,221.98,218.98,220.3,220.23,366,1678
au,0901,2008-01-25,,,,215.5,217.64,0,2
au,0806,2008-01-28,219.6,221.97,219.2,220.33,220.68,62712,33182
au,0807,2008-01-28,219.9,221.67,219.2,219.85,220.49,402,2392
au,0808,2008-01-28,219.6,221.5,219.1,220.3,220.58,376,2782
au,0809,2008-01-28,219,227.97,219,221.16,221.54,54,306
au,0810,2008-01-28,219.65,222,219.65,220,220.68,24,184
au,0811,2008-01-28,220.69,221.99,220.69,221.77,221.13,22,208
au,0812,2008-01-28,221,222.95,220.18,221.75,221.71,218,1700
au,0901,2008-01-28,,,,215.5,217.64,0,2
au,0806,2008-01-29,223.6,224.3,222.56,222.56,223.37,47652,34168
au,0807,2008-01-29,223.8,224,222.71,222.71,223.34,366,2396
au,0808,2008-01-29,221.01,224.2,221.01,222.61,223.24,206,2766
au,0809,2008-01-29,223.7,224,223,223,223.39,54,304
au,0810,2008-01-29,223.64,223.79,222,222,223.2,54,192
au,0811,2008-01-29,224.88,224.88,223.88,223.88,224.2,10,206
au,0812,2008-01-29,223.7,224.79,223.14,223.34,223.92,246,1700
au,0901,2008-01-29,,,,215.5,217.64,0,2
au,0806,2008-01-30,221,222.05,220.01,220.1,221.06,36230,35728
au,0807,2008-01-30,221,221.98,220.01,220.16,221.04,424,2320
au,0808,2008-01-30,221,221.8,220.1,220.1,220.91,186,2768
au,0809,2008-01-30,222,222.43,220.9,220.9,222.06,30,306
au,0810,2008-01-30,222,222,221.06,221.06,221.63,12,194
au,0811,2008-01-30,222.08,222.08,221.52,221.53,221.85,12,206
