product,delivery,date,open,high,low,close,settlement,volume,open_interest
bc,2103,2020-11-19,47500,47600,45600,47090,47170,7555,1556
bc,2104,2020-11-19,46790,47520,46790,47170,47120,348,179
bc,2105,2020-11-19,47450,47590,47110,47340,47230,209,149
bc,2106,2020-11-19,48010,48010,47250,47320,47340,222,205
bc,2107,2020-11-19,,,,47680,47680,0,0
bc,2108,2020-11-19,,,,47680,47680,0,0
bc,2109,2020-11-19,47680,47680,47680,47680,47680,5,5
bc,2110,2020-11-19,47680,47680,47680,47680,47680,1,1
bc,2111,2020-11-19,47810,47810,46380,47440,47320,4,1
bc,2103,2020-11-20,47170,47840,46880,47790,47360,4705,1651
bc,2104,2020-11-20,47190,47940,47180,47940,47420,72,199
bc,2105,2020-11-20,47260,48060,47090,47910,47390,48,172
bc,2106,2020-11-20,47360,47800,47120,47800,47390,55,240
bc,2107,2020-11-20,,,,47900,47900,0,0
bc,2108,2020-11-20,,,,47950,47950,0,0
bc,2109,2020-11-20,48250,48250,47840,48250,48150,9,4
bc,2110,2020-11-20,47350,47880,47350,47690,47640,3,1
bc,2111,2020-11-20,47180,47180,47180,47180,47180,1,0
bc,2103,2020-11-23,48000,48680,47960,48220,48310,8386,2312
bc,2104,2020-11-23,48120,48650,48100,48460,48340,37,200
bc,2105,2020-11-23,48220,48750,48130,48310,48290,151,300
bc,2106,2020-11-23,48250,48250,48250,48250,48250,1,239
bc,2107,2020-11-23,,,,48300,48300,0,0
bc,2108,2020-11-23,,,,48350,48350,0,0
bc,2109,2020-11-23,48450,48450,48440,48440,48440,5,2
bc,2110,2020-11-23,48340,48340,48340,48340,48340,1,1
bc,2111,2020-11-23,,,,47470,47470,0,0
bc,2103,2020-11-24,48220,48940,47820,48910,48380,5692,2445
bc,2104,2020-11-24,48260,48960,48130,48950,48350,84,253
bc,2105,2020-11-24,48130,49060,48130,49060,48580,52,336
bc,2106,2020-11-24,49010,49010,49010,49010,49010,2,239
bc,2107,2020-11-24,,,,48300,48300,0,0
bc,2108,2020-11-24,,,,48350,48350,0,0
bc,2109,2020-11-24,,,,48440,48440,0,2
bc,2110,2020-11-24,,,,48340,48340,0,1
bc,2111,2020-11-24,,,,47850,47850,0,0
bc,2103,2020-11-25,48950,49210,48610,48750,48880,4635,2314
