product,delivery,date,open,high,low,close,settlement,volume,open_interest
bu,1402,2013-10-09,4598,4658,4470,4476,4532,318682,65246
bu,1403,2013-10-09,4650,4656,4528,4528,4604,26584,4456
bu,1406,2013-10-09,4640,4678,4610,4610,4648,1850,700
bu,1409,2013-10-09,4716,4716,4604,4612,4652,402,124
bu,1412,2013-10-09,4676,4676,4538,4538,4602,286,222
bu,1503,2013-10-09,4678,4678,4612,4620,4642,240,48
bu,1506,2013-10-09,4622,4632,4622,4632,4626,4,4
bu,1509,2013-10-09,4668,4668,4588,4628,4646,36,26
bu,1402,2013-10-10,4460,4522,4452,4502,4494,204880,54008
bu,1403,2013-10-10,4504,4568,4502,4546,4542,5788,4218
bu,1406,2013-10-10,4606,4648,4586,4628,4620,406,648
bu,1409,2013-10-10,4602,4630,4602,4612,4612,74,128
bu,1412,2013-10-10,4548,4560,4532,4540,4544,32,236
bu,1503,2013-10-10,4614,4680,4596,4622,4626,14,44
bu,1506,2013-10-10,4588,4630,4588,4630,4608,8,10
bu,1509,2013-10-10,,,,4646,4646,0,26
bu,1402,2013-10-11,4510,4524,4456,4466,4492,180100,60936
bu,1403,2013-10-11,4560,4570,4512,4522,4538,4240,3214
bu,1406,2013-10-11,4620,4640,4602,4602,4616,222,564
bu,1409,2013-10-11,4620,4650,4620,4620,4636,64,112
bu,1412,2013-10-11,4558,4558,4504,4510,4520,54,236
bu,1503,2013-10-11,4602,4602,4602,4602,4602,2,44
bu,1506,2013-10-11,,,,4608,4608,0,10
bu,1509,2013-10-11,4628,4628,4604,4604,4616,4,24
bu,1402,2013-10-14,4476,4490,4434,4444,4456,148998,67386
bu,1403,2013-10-14,4528,4540,4484,4486,4512,2846,2720
bu,1406,2013-10-14,4600,4616,4586,4588,4598,194,498
bu,1409,2013-10-14,4622,4622,4594,4600,4606,10,110
bu,1412,2013-10-14,4512,4522,4482,4488,4502,24,238
bu,1503,2013-10-14,,,,4602,4602,0,44
bu,1506,2013-10-14,4592,4598,4592,4598,4592,8,18
bu,1509,2013-10-14,4600,4608,4600,4608,4604,4,26
bu,1402,2013-10-15,4448,4494,4436,4442,4462,201544,63700
bu,1403,2013-10-15,4506,4544,4492,4498,4512,3302,2544
bu,1406,2013-10-15,4780,4780,4596,4606,4630,252,514
bu,1409,2013-10-15,4610,4650,4610,4618,4626,16,108
bu,1412,2013-10-15,4482,4520,4482,4486,4496,56,242
bu,1503,2013-10-15,,,,4602,4602,0,44
bu,1506,2013-10-15,,,,4592,4592,0,18
bu,1509,2013-10-15,4622,4622,4622,4622,4622,2,24
bu,1402,2013-10-16,4428,4484,4428,4432,4452,206374,67078
bu,1403,2013-10-16,4498,4532,4480,4488,4506,1374,2442
bu,1404,2013-10-16,4508,4508,4508,4508,4508,2,2
bu,1406,2013-10-16,4598,4638,4596,4598,4610,276,478
bu,1409,2013-10-16,4624,4646,4604,4610,4620,24,106
bu,1412,2013-10-16,4498,4514,4486,4488,4494,56,240
bu,1503,2013-10-16,4582,4582,4582,4582,4582,2,46
bu,1506,2013-10-16,,,,4592,4592,0,18
bu,1509,2013-10-16,,,,4622,4622,0,24
bu,1402,2013-10-17,4448,4460,4408,4410,4434,142864,73002
bu,1403,2013-10-17,4492,4510,4466,4466,4486,574,2484
bu,1404,2013-10-17,,,,4488,4488,0,2
bu,1406,2013-10-17,4608,4614,4570,4572,4586,150,440
bu,1409,2013-10-17,4610,4610,4592,4592,4602,8,104
bu,1412,2013-10-17,4472,4474,4472,4474,4472,6,242
bu,1503,2013-10-17,,,,4582,4582,0,46
bu,1506,2013-10-17,,,,4592,4592,0,18
bu,1509,2013-10-17,4558,4558,4558,4558,4558,2,24
bu,1402,2013-10-18,4412,4430,4402,4404,4414,88740,75164
bu,1403,2013-10-18,4460,4478,4448,4448,4464,1602,2628
bu,1404,2013-10-18,,,,4466,4466,0,2
bu,1406,2013-10-18,4568,4578,4560,4560,4568,80,408
bu,1409,2013-10-18,4574,4578,4564,4564,4574,28,104
bu,1412,2013-10-18,4462,4464,4448,4452,4452,38,238
bu,1503,2013-10-18,4546,4546,4544,4544,4544,6,46
bu,1506,2013-10-18,4592,4592,4592,4592,4592,2,20
bu,1509,2013-10-18,4566,4566,4566,4566,4566,6,30
bu,1402,2013-10-21,4410,4466,4406,4452,4448,154962,58838
bu,1403,2013-10-21,4454,4504,4454,4500,4486,1314,2424
bu,1404,2013-10-21,,,,4488,4488,0,2
bu,1406,2013-10-21,4560,4602,4560,4594,4590,148,398
bu,1409,2013-10-21,4580,4598,4580,4582,4586,30,106
bu,1412,2013-10-21,4488,4488,4472,4480,4482,10,236
bu,1503,2013-10-21,,,,4544,4544,0,46
bu,1506,2013-10-21,4592,4614,4592,4608,4602,8,24
bu,1509,2013-10-21,,,,4568,4568,0,30
bu,1402,2013-10-22,4444,4454,4428,4440,4436,57890,56140
bu,1403,2013-10-22,4484,4490,4468,4476,4474,422,2488
bu,1404,2013-10-22,,,,4476,4476,0,2
bu,1406,2013-10-22,4590,4592,4584,4584,4586,32,410
bu,1409,2013-10-22,4582,4582,4578,4580,4580,6,104
bu,1412,2013-10-22,4474,4476,4464,4474,4470,28,232
bu,1503,2013-10-22,,,,4558,4558,0,46
bu,1506,2013-10-22,4616,4616,4616,4616,4616,2,22
bu,1509,2013-10-22,4582,4582,4582,4582,4582,2,30
bu,1402,2013-10-23,4432,4444,4408,4436,4426,85280,54076
bu,1403,2013-10-23,4480,4480,4446,4472,4468,422,2498
bu,1404,2013-10-23,,,,4470,4470,0,2
bu,1406,2013-10-23,4592,4592,4574,4578,4578,180,496
bu,1409,2013-10-23,4570,4580,4568,4576,4574,14,106
bu,1412,2013-10-23,4474,4474,4456,4464,4462,20,232
bu,1503,2013-10-23,,,,4558,4558,0,46
bu,1506,2013-10-23,,,,4616,4616,0,22
bu,1509,2013-10-23,4584,4584,4584,4584,4584,6,24
bu,1402,2013-10-24,4434,4482,4426,4458,4458,161110,53534
bu,1403,2013-10-24,4476,4508,4468,4482,4492,944,2330
bu,1404,2013-10-24,,,,4494,4494,0,2
bu,1406,2013-10-24,4564,4602,4564,4578,4586,146,508
bu,1409,2013-10-24,4602,4608,4602,4606,4604,6,106
bu,1412,2013-10-24,4476,4510,4476,4482,4486,22,236
bu,1503,2013-10-24,4594,4594,4594,4594,4594,2,46
bu,1506,2013-10-24,4626,4636,4618,4636,4626,6,24
bu,1509,2013-10-24,4578,4610,4578,4610,4594,4,20
bu,1402,2013-10-25,4460,4464,4406,4406,4420,115570,40222
bu,1403,2013-10-25,4490,4490,4440,4442,4452,616,2166
