product,delivery,date,open,high,low,close,settlement,volume,open_interest
cu,0201,2002-01-07,14780,14780,14720,14730,14730,682,8232
cu,0202,2002-01-07,14840,14880,14830,14840,14860,296,9410
cu,0203,2002-01-07,14980,15040,14980,14990,15010,3006,19028
cu,0204,2002-01-07,15000,15170,15000,15120,15120,7986,31448
cu,0205,2002-01-07,15170,15340,15170,15280,15280,32814,66106
cu,0206,2002-01-07,15300,15470,15300,15410,15410,24424,27936
cu,0207,2002-01-07,15440,15570,15440,15520,15510,494,3010
cu,0208,2002-01-07,0,0,0,15470,15330,0,0
cu,0209,2002-01-07,0,0,0,15110,15250,0,0
cu,0210,2002-01-07,0,0,0,14980,0,0,0
cu,0211,2002-01-07,0,0,0,14980,0,0,0
cu,0212,2002-01-07,0,0,0,14980,0,0,0
cu,0201,2002-01-08,15170,15170,15170,15170,15170,330,8232
cu,0202,2002-01-08,15300,15300,15300,15300,15300,232,9408
cu,0203,2002-01-08,15460,15460,15460,15460,15460,872,18804
cu,0204,2002-01-08,15570,15570,15570,15570,15570,490,31418
cu,0205,2002-01-08,15730,15730,15730,15730,15730,1646,65122
cu,0206,2002-01-08,15870,15870,15870,15870,15870,438,27864
cu,0207,2002-01-08,15970,15970,15970,15970,15970,52,3024
cu,0208,2002-01-08,0,0,0,15470,15330,0,0
cu,0209,2002-01-08,0,0,0,15110,15250,0,0
cu,0210,2002-01-08,0,0,0,14980,0,0,0
cu,0211,2002-01-08,0,0,0,14980,0,0,0
cu,0212,2002-01-08,0,0,0,14980,0,0,0
cu,0201,2002-01-09,15070,15160,15040,15130,15080,2326,8206
cu,0202,2002-01-09,15050,15340,15050,15300,15250,2700,9504
cu,0203,2002-01-09,15400,15540,15350,15450,15400,4610,19296
cu,0204,2002-01-09,15590,15680,15470,15590,15550,8638,28132
cu,0205,2002-01-09,15800,15870,15640,15750,15740,61572,54422
cu,0206,2002-01-09,15920,16000,15780,15900,15870,29224,33912
cu,0207,2002-01-09,15970,16140,15910,15980,16000,966,3280
cu,0208,2002-01-09,15780,15780,15780,15780,15780,12,12
cu,0209,2002-01-09,0,0,0,15110,15250,0,0
cu,0210,2002-01-09,0,0,0,14980,0,0,0
cu,0211,2002-01-09,0,0,0,14980,0,0,0
cu,0212,2002-01-09,0,0,0,14980,0,0,0
cu,0201,2002-01-10,15150,15200,15100,15100,15170,1754,8574
cu,0202,2002-01-10,15330,15360,15240,15240,15310,1788,9158
cu,0203,2002-01-10,15520,15530,15400,15400,15480,3810,18414
cu,0204,2002-01-10,15630,15680,15530,15530,15620,3034,27942
cu,0205,2002-01-10,15810,15850,15700,15700,15790,30180,55292
cu,0206,2002-01-10,15930,15980,15820,15830,15920,19742,36256
cu,0207,2002-01-10,16070,16120,15940,15950,16060,1156,3590
cu,0208,2002-01-10,15850,16060,15850,16060,15880,14,2
cu,0209,2002-01-10,0,0,0,15780,15780,0,0
cu,0210,2002-01-10,0,0,0,15780,0,0,0
cu,0211,2002-01-10,0,0,0,15780,0,0,0
cu,0212,2002-01-10,0,0,0,15780,0,0,0
cu,0201,2002-01-11,15070,15150,15060,15140,15080,2292,8358
cu,0202,2002-01-11,15220,15280,15200,15280,15220,810,9212
cu,0203,2002-01-11,15330,15390,15320,15390,15350,2208,18080
cu,0204,2002-01-11,15380,15560,15360,15540,15510,1696,27308
cu,0205,2002-01-11,15580,15720,15550,15710,15660,31418,53020
cu,0206,2002-01-11,15700,15850,15700,15830,15800,22318,40934
cu,0207,2002-01-11,15890,15980,15890,15970,15930,1508,4178
cu,0208,2002-01-11,16060,16060,16060,16060,16060,2,4
cu,0209,2002-01-11,0,0,0,15780,15780,0,0
cu,0210,2002-01-11,0,0,0,15780,0,0,0
cu,0211,2002-01-11,0,0,0,15780,0,0,0
cu,0212,2002-01-11,0,0,0,15780,0,0,0
cu,0201,2002-01-14,15150,15170,15110,15130,15140,2180,7838
cu,0202,2002-01-14,15250,15300,15230,15240,15260,896,9312
cu,0203,2002-01-14,15440,15450,15360,15360,15400,2904,16928
cu,0204,2002-01-14,15560,15590,15500,15530,15550,2606,26438
cu,0205,2002-01-14,15720,15780,15660,15700,15720,17322,54452
cu,0206,2002-01-14,15850,15910,15810,15850,15860,20100,46250
cu,0207,2002-01-14,15960,16030,15940,15970,15960,1308,4884
cu,0208,2002-01-14,0,0,0,16060,16060,0,4
cu,0209,2002-01-14,0,0,0,15780,15780,0,0
cu,0210,2002-01-14,0,0,0,15780,0,0,0
cu,0211,2002-01-14,0,0,0,15780,0,0,0
cu,0212,2002-01-14,0,0,0,15780,0,0,0
cu,0201,2002-01-15,15150,15200,15130,15160,15150,2408,8030
cu,0202,2002-01-15,15260,15310,15250,15250,15280,2490,10100
cu,0203,2002-01-15,15400,15450,15390,15430,15410,1916,16474
cu,0204,2002-01-15,15540,15600,15500,15570,15550,2306,25816
cu,0205,2002-01-15,15710,15770,15680,15740,15730,13712,52660
cu,0206,2002-01-15,15890,15930,15840,15890,15880,22214,50244
cu,0207,2002-01-15,15980,16050,15980,16010,16010,1404,5488
cu,0208,2002-01-15,16100,16100,16100,16100,16100,2,4
cu,0209,2002-01-15,0,0,0,15780,15780,0,0
cu,0210,2002-01-15,0,0,0,15780,0,0,0
cu,0211,2002-01-15,0,0,0,15780,0,0,0
cu,0212,2002-01-15,0,0,0,15780,0,0,0
cu,0202,2002-01-16,15200,15220,15140,15160,15190,618,10232
cu,0203,2002-01-16,15370,15370,15310,15320,15320,974,17058
cu,0204,2002-01-16,15470,15520,15460,15470,15470,658,25644
cu,0205,2002-01-16,15610,15670,15610,15620,15630,11042,51000
cu,0206,2002-01-16,15750,15820,15750,15770,15780,25570,55144
cu,0207,2002-01-16,15940,15950,15870,15890,15900,3838,8622
cu,0208,2002-01-16,16080,16090,16020,16020,16070,12,12
cu,0209,2002-01-16,16240,16240,15810,15810,16020,40,0
cu,0210,2002-01-16,0,0,0,15780,0,0,0
cu,0211,2002-01-16,0,0,0,15780,0,0,0
cu,0212,2002-01-16,0,0,0,15780,0,0,0
cu,0301,2002-01-16,0,0,0,14980,0,0,0
cu,0202,2002-01-17,15200,15280,15200,15240,15260,1162,10316
cu,0203,2002-01-17,15400,15420,15390,15400,15390,668,16894
cu,0204,2002-01-17,15600,15600,15530,15530,15550,662,25494
cu,0205,2002-01-17,15750,15820,15700,15700,15730,9730,49494
cu,0206,2002-01-17,15900,15920,15850,15860,15880,29046,61290
cu,0207,2002-01-17,16010,16030,15970,15970,16000,2438,9840
cu,0208,2002-01-17,16110,16130,16110,16120,16120,106,112
cu,0209,2002-01-17,0,0,0,15810,16020,0,0
cu,0210,2002-01-17,0,0,0,15780,0,0,0
cu,0211,2002-01-17,0,0,0,15780,0,0,0
cu,0212,2002-01-17,0,0,0,15780,0,0,0
cu,0301,2002-01-17,0,0,0,14980,0,0,0
cu,0202,2002-01-18,15300,15310,15160,15160,15250,1378,10552
cu,0203,2002-01-18,15430,15450,15270,15270,15390,904,16750
cu,0204,2002-01-18,15520,15600,15450,15470,15520,3758,23866
cu,0205,2002-01-18,15710,15790,15610,15620,15680,12016,46070
cu,0206,2002-01-18,15880,15950,15760,15770,15850,52254,69634
cu,0207,2002-01-18,15980,16070,15880,15900,15970,3222,10890
cu,0208,2002-01-18,16030,16030,16010,16010,16020,6,112
cu,0209,2002-01-18,15810,15810,15810,15810,15810,2,2
cu,0210,2002-01-18,0,0,0,15780,0,0,0
cu,0211,2002-01-18,0,0,0,15780,0,0,0
cu,0212,2002-01-18,0,0,0,15780,0,0,0
cu,0301,2002-01-18,0,0,0,14980,0,0,0
cu,0202,2002-01-21,15150,15150,15070,15070,15090,412,10578
cu,0203,2002-01-21,15290,15290,15200,15220,15220,680,16724
cu,0204,2002-01-21,15380,15420,15360,15370,15380,1770,23580
cu,0205,2002-01-21,15550,15580,15510,15520,15540,6394,45088
cu,0206,2002-01-21,15700,15730,15660,15660,15700,29318,71792
cu,0207,2002-01-21,15880,15880,15780,15790,15830,3292,12186
cu,0208,2002-01-21,15910,15910,15900,15900,15900,30,138
cu,0209,2002-01-21,0,0,0,15810,15810,0,2
cu,0210,2002-01-21,0,0,0,15780,0,0,0
cu,0211,2002-01-21,0,0,0,15780,0,0,0
cu,0212,2002-01-21,0,0,0,15780,0,0,0
