product,delivery,date,open,high,low,close,settlement,volume,open_interest
fu,0501,2004-08-25,2175,2222,2151,2184,2193,76412,10014
fu,0503,2004-08-25,2100,2188,2100,2151,2158,11012,3100
fu,0504,2004-08-25,2098,2169,2015,2120,2110,1922,398
fu,0505,2004-08-25,2098,2148,2050,2109,2110,1430,544
fu,0506,2004-08-25,2098,2158,2027,2096,2100,280,164
fu,0507,2004-08-25,2187,2187,2083,2098,2100,148,50
fu,0508,2004-08-25,2100,2150,2076,2079,2106,324,108
fu,0501,2004-08-26,2184,2187,2155,2168,2168,65350,15100
fu,0503,2004-08-26,2154,2154,2126,2132,2134,4688,3952
fu,0504,2004-08-26,2120,2144,2101,2114,2111,202,366
fu,0505,2004-08-26,2089,2120,2089,2105,2097,294,544
fu,0506,2004-08-26,2104,2104,2080,2099,2095,36,180
fu,0507,2004-08-26,2089,2089,2089,2089,2089,20,50
fu,0508,2004-08-26,2071,2087,2065,2078,2077,34,108
fu,0501,2004-08-27,2160,2166,2140,2148,2149,60688,15578
fu,0503,2004-08-27,2120,2129,2111,2117,2117,2182,4248
fu,0504,2004-08-27,2114,2114,2097,2108,2104,98,356
fu,0505,2004-08-27,2101,2104,2088,2094,2095,226,570
fu,0506,2004-08-27,2086,2096,2080,2090,2088,40,168
fu,0507,2004-08-27,2022,2087,2001,2069,2062,20,50
fu,0508,2004-08-27,2078,2078,2074,2075,2075,8,110
fu,0501,2004-08-30,2152,2158,2143,2147,2149,23898,15510
fu,0503,2004-08-30,2121,2128,2113,2114,2116,1042,4282
fu,0504,2004-08-30,2110,2110,2104,2104,2106,70,352
fu,0505,2004-08-30,2115,2118,2095,2096,2100,94,548
fu,0506,2004-08-30,2099,2099,2092,2095,2095,8,166
fu,0507,2004-08-30,2077,2077,2077,2077,2077,2,50
fu,0508,2004-08-30,2070,2070,2070,2070,2070,2,110
fu,0501,2004-08-31,2136,2138,2119,2123,2126,38162,17726
fu,0503,2004-08-31,2101,2105,2083,2094,2094,1896,4158
fu,0504,2004-08-31,2085,2091,2085,2087,2087,54,350
fu,0505,2004-08-31,2068,2093,2068,2090,2085,92,530
fu,0506,2004-08-31,2102,2102,2065,2069,2079,12,158
fu,0507,2004-08-31,0,0,0,2077,2077,0,50
fu,0508,2004-08-31,2088,2088,2076,2076,2082,4,108
fu,0501,2004-09-01,2125,2140,2112,2134,2126,45888,22398
fu,0503,2004-09-01,2093,2115,2087,2109,2101,1686,3902
fu,0504,2004-09-01,2090,2100,2077,2100,2090,36,342
fu,0505,2004-09-01,2100,2115,2079,2094,2088,50,538
fu,0506,2004-09-01,2062,2062,2062,2062,2062,2,158
fu,0507,2004-09-01,0,0,0,2077,2077,0,50
fu,0508,2004-09-01,2080,2087,2080,2081,2082,14,108
fu,0509,2004-09-01,0,0,0,2082,2082,0,0
fu,0501,2004-09-02,2152,2157,2142,2144,2149,48276,21062
fu,0503,2004-09-02,2131,2131,2118,2119,2124,1322,3612
fu,0504,2004-09-02,2117,2118,2113,2118,2116,10,340
fu,0505,2004-09-02,2100,2112,2099,2099,2104,112,512
fu,0506,2004-09-02,2098,2099,2084,2093,2094,34,144
fu,0507,2004-09-02,0,0,0,2077,2077,0,50
fu,0508,2004-09-02,2090,2097,2071,2080,2084,42,108
fu,0509,2004-09-02,0,0,0,2082,2082,0,0
fu,0501,2004-09-03,2150,2153,2133,2134,2144,19604,18482
fu,0503,2004-09-03,2125,2125,2107,2109,2116,498,3542
fu,0504,2004-09-03,2112,2112,2101,2103,2102,36,338
fu,0505,2004-09-03,2105,2105,2097,2097,2101,88,484
fu,0506,2004-09-03,2094,2094,2077,2077,2091,16,138
fu,0507,2004-09-03,0,0,0,2077,2077,0,50
fu,0508,2004-09-03,2081,2081,2081,2081,2081,4,108
fu,0509,2004-09-03,0,0,0,2082,2082,0,0
fu,0501,2004-09-06,2133,2136,2119,2122,2126,17516,18094
fu,0503,2004-09-06,2100,2108,2100,2103,2103,250,3474
fu,0504,2004-09-06,0,0,0,2103,2102,0,338
fu,0505,2004-09-06,2091,2091,2088,2088,2089,4,482
fu,0506,2004-09-06,0,0,0,2077,2091,0,138
fu,0507,2004-09-06,0,0,0,2077,2077,0,50
fu,0508,2004-09-06,2005,2005,2005,2005,2005,4,108
fu,0509,2004-09-06,0,0,0,2082,2082,0,0
fu,0501,2004-09-07,2114,2122,2098,2099,2108,29542,19320
fu,0503,2004-09-07,2088,2095,2077,2079,2087,1052,3918
fu,0504,2004-09-07,2078,2078,2077,2077,2077,4,338
fu,0505,2004-09-07,2100,2101,2065,2070,2077,56,484
fu,0506,2004-09-07,2058,2058,2046,2046,2052,4,138
fu,0507,2004-09-07,0,0,0,2077,2077,0,50
fu,0508,2004-09-07,2069,2069,2015,2015,2042,4,108
fu,0509,2004-09-07,0,0,0,2082,2082,0,0
fu,0501,2004-09-08,2100,2112,2088,2107,2101,33360,20824
fu,0503,2004-09-08,2085,2092,2072,2088,2081,1078,4226
fu,0504,2004-09-08,2058,2080,2058,2073,2065,84,318
fu,0505,2004-09-08,2063,2070,2055,2070,2065,14,484
fu,0506,2004-09-08,2041,2041,2041,2041,2041,2,138
fu,0507,2004-09-08,0,0,0,2077,2077,0,50
fu,0508,2004-09-08,2022,2050,2022,2050,2036,4,110
fu,0509,2004-09-08,0,0,0,2082,2082,0,0
fu,0501,2004-09-09,2104,2105,2080,2090,2094,33406,18858
fu,0503,2004-09-09,2080,2084,2060,2065,2072,642,4390
fu,0504,2004-09-09,2058,2063,2054,2055,2057,8,318
fu,0505,2004-09-09,2052,2055,2036,2036,2052,62,472
fu,0506,2004-09-09,2034,2034,2034,2034,2034,2,138
fu,0507,2004-09-09,1984,2002,1984,2002,1993,4,52
fu,0508,2004-09-09,2018,2018,2017,2017,2017,6,110
fu,0509,2004-09-09,0,0,0,2082,2082,0,0
fu,0501,2004-09-10,2117,2122,2106,2112,2114,26554,17730
fu,0503,2004-09-10,2086,2108,2083,2087,2088,952,4226
fu,0504,2004-09-10,2080,2087,2062,2075,2074,18,316
fu,0505,2004-09-10,2065,2070,2055,2061,2062,198,352
fu,0506,2004-09-10,2055,2055,2044,2044,2049,4,136
fu,0507,2004-09-10,0,0,0,2002,1993,0,52
fu,0508,2004-09-10,2035,2035,2035,2035,2035,4,110
fu,0509,2004-09-10,0,0,0,2082,2082,0,0
fu,0501,2004-09-13,2092,2101,2083,2099,2093,17388,17800
fu,0503,2004-09-13,2072,2074,2060,2066,2063,1006,4512
fu,0504,2004-09-13,2052,2056,2050,2050,2051,44,332
fu,0505,2004-09-13,2050,2056,2043,2050,2048,134,330
fu,0506,2004-09-13,2027,2044,2000,2036,2030,56,134
fu,0507,2004-09-13,2028,2030,2028,2030,2029,4,50
fu,0508,2004-09-13,2034,2034,2034,2034,2034,2,110
fu,0509,2004-09-13,0,0,0,2082,2082,0,0
fu,0501,2004-09-14,2104,2105,2095,2099,2100,13596,17464
fu,0503,2004-09-14,2066,2068,2061,2067,2065,254,4542
fu,0504,2004-09-14,2062,2062,2062,2062,2062,4,332
fu,0505,2004-09-14,2059,2060,2050,2051,2056,64,328
fu,0506,2004-09-14,2042,2048,2042,2046,2046,20,134
fu,0507,2004-09-14,2038,2038,2038,2038,2038,2,50
fu,0508,2004-09-14,2005,2006,2005,2006,2005,4,112
fu,0509,2004-09-14,0,0,0,2082,2082,0,0
fu,0501,2004-09-15,2109,2110,2093,2094,2103,16042,17198
fu,0503,2004-09-15,2073,2073,2062,2062,2069,788,4224
fu,0504,2004-09-15,2062,2062,2062,2062,2062,2,330
fu,0505,2004-09-15,2053,2057,2049,2050,2051,26,326
fu,0506,2004-09-15,2059,2062,2045,2045,2052,30,134
fu,0507,2004-09-15,2020,2020,2020,2020,2020,4,46
fu,0508,2004-09-15,2036,2036,2036,2036,2036,2,112
fu,0509,2004-09-15,0,0,0,2082,2082,0,0
fu,0501,2004-09-16,2090,2097,2086,2094,2092,16534,15922
fu,0503,2004-09-16,2062,2062,2047,2057,2054,414,4278
fu,0504,2004-09-16,2031,2031,2031,2031,2031,2,332
fu,0505,2004-09-16,2048,2048,2036,2040,2046,38,328
fu,0506,2004-09-16,2041,2041,2041,2041,2041,2,134
fu,0507,2004-09-16,0,0,0,2020,2020,0,46
fu,0508,2004-09-16,2001,2010,2001,2010,2007,12,114
fu,0509,2004-09-16,0,0,0,2082,2082,0,0
fu,0501,2004-09-17,2096,2100,2092,2094,2096,6882,15228
fu,0503,2004-09-17,2054,2060,2052,2052,2055,146,4272
fu,0504,2004-09-17,2054,2054,2050,2050,2052,4,330
fu,0505,2004-09-17,2050,2052,2050,2050,2050,16,340
fu,0506,2004-09-17,0,0,0,2041,2041,0,134
fu,0507,2004-09-17,2036,2036,2036,2036,2036,4,46
fu,0508,2004-09-17,2000,2000,2000,2000,2000,6,112
fu,0509,2004-09-17,0,0,0,2082,2082,0,0
fu,0501,2004-09-20,2110,2110,2098,2106,2105,7606,15066
fu,0503,2004-09-20,2055,2100,2055,2065,2066,424,4278
fu,0504,2004-09-20,2061,2062,2059,2062,2060,16,328
fu,0505,2004-09-20,2060,2070,2053,2054,2059,56,316
fu,0506,2004-09-20,2050,2051,2050,2050,2050,12,136
fu,0507,2004-09-20,2050,2060,2045,2050,2050,12,38
fu,0508,2004-09-20,2020,2030,2020,2030,2025,12,104
fu,0509,2004-09-20,0,0,0,2082,2082,0,0
fu,0501,2004-09-21,2110,2114,2098,2098,2106,6872,14186
fu,0503,2004-09-21,2066,2068,2052,2052,2058,300,4254
fu,0504,2004-09-21,2043,2043,2043,2043,2043,2,328
fu,0505,2004-09-21,2053,2053,2041,2050,2048,10,308
fu,0506,2004-09-21,2050,2050,2050,2050,2050,12,136
fu,0507,2004-09-21,2040,2040,2040,2040,2040,10,28
fu,0508,2004-09-21,2039,2063,2031,2062,2043,16,98
fu,0509,2004-09-21,0,0,0,2082,2082,0,0
fu,0501,2004-09-22,2106,2142,2105,2124,2125,26474,17940
fu,0503,2004-09-22,2056,2098,2056,2078,2077,700,4136
fu,0504,2004-09-22,2072,2084,2061,2061,2076,28,324
fu,0505,2004-09-22,2082,2084,2063,2075,2074,64,258
fu,0506,2004-09-22,2090,2090,2056,2075,2074,8,132
fu,0507,2004-09-22,0,0,0,2040,2040,0,28
fu,0508,2004-09-22,0,0,0,2062,2043,0,98
fu,0509,2004-09-22,0,0,0,2082,2082,0,0
fu,0501,2004-09-23,2136,2138,2116,2120,2125,9458,16968
fu,0503,2004-09-23,2078,2085,2075,2079,2080,270,4050
fu,0504,2004-09-23,0,0,0,2061,2076,0,324
fu,0505,2004-09-23,0,0,0,2075,2074,0,258
fu,0506,2004-09-23,2129,2129,2061,2061,2095,4,132
fu,0507,2004-09-23,2020,2020,2020,2020,2020,2,26
fu,0508,2004-09-23,2011,2018,2011,2018,2012,26,96
fu,0509,2004-09-23,0,0,0,2082,2082,0,0
fu,0501,2004-09-24,2127,2133,2114,2115,2121,8762,16902
fu,0503,2004-09-24,2089,2090,2078,2085,2082,378,4216
fu,0504,2004-09-24,0,0,0,2061,2076,0,324
fu,0505,2004-09-24,0,0,0,2075,2074,0,258
fu,0506,2004-09-24,2061,2061,2061,2061,2061,4,132
fu,0507,2004-09-24,2074,2074,2020,2020,2047,4,26
fu,0508,2004-09-24,2029,2030,2028,2030,2028,16,90
fu,0509,2004-09-24,0,0,0,2082,2082,0,0
fu,0501,2004-09-27,2125,2138,2121,2128,2130,11956,17326
fu,0503,2004-09-27,2094,2099,2087,2095,2094,138,4192
