product,delivery,date,open,high,low,close,settlement,volume,open_interest
hc,1407,2014-03-21,3250,3308,3240,3300,3270,1490,140
hc,1408,2014-03-21,3258,3348,3254,3310,3294,1174,64
hc,1409,2014-03-21,3258,3332,3236,3322,3284,13604,2260
hc,1410,2014-03-21,3252,3336,3230,3324,3300,187478,52030
hc,1411,2014-03-21,3240,3310,3240,3272,3282,86,2
hc,1412,2014-03-21,,,,3316,3316,0,0
hc,1501,2014-03-21,3330,3360,3310,3350,3340,5490,3026
hc,1502,2014-03-21,,,,3316,3316,0,0
hc,1503,2014-03-21,3316,3410,3316,3332,3368,12,2
hc,1407,2014-03-24,3294,3312,3268,3308,3294,170,136
hc,1408,2014-03-24,3300,3300,3300,3300,3300,2,64
hc,1409,2014-03-24,3316,3326,3280,3316,3298,2148,1572
hc,1410,2014-03-24,3314,3330,3266,3330,3304,86810,47616
hc,1411,2014-03-24,,,,3298,3298,0,2
hc,1412,2014-03-24,,,,3316,3316,0,0
hc,1501,2014-03-24,3350,3350,3310,3348,3332,416,3080
hc,1502,2014-03-24,,,,3318,3318,0,0
hc,1503,2014-03-24,,,,3368,3368,0,2
hc,1407,2014-03-25,3318,3392,3306,3368,3330,96,156
hc,1408,2014-03-25,,,,3358,3358,0,64
hc,1409,2014-03-25,3330,3402,3322,3378,3348,1592,1042
hc,1410,2014-03-25,3326,3400,3320,3378,3358,119854,61256
hc,1411,2014-03-25,,,,3352,3352,0,2
hc,1412,2014-03-25,,,,3354,3354,0,0
hc,1501,2014-03-25,3360,3432,3352,3414,3386,494,3068
hc,1502,2014-03-25,,,,3358,3358,0,0
hc,1503,2014-03-25,3350,3350,3350,3350,3350,2,2
hc,1407,2014-03-26,3322,3386,3322,3352,3350,34,148
hc,1408,2014-03-26,3356,3356,3356,3356,3356,2,62
hc,1409,2014-03-26,3430,3430,3354,3364,3364,306,946
hc,1410,2014-03-26,3370,3382,3354,3376,3368,37876,60560
hc,1411,2014-03-26,,,,3352,3352,0,2
hc,1412,2014-03-26,,,,3354,3354,0,0
hc,1501,2014-03-26,3430,3432,3388,3402,3402,80,3068
hc,1502,2014-03-26,,,,3384,3384,0,0
hc,1503,2014-03-26,,,,3382,3382,0,2
hc,1407,2014-03-27,3344,3390,3334,3366,3352,32,140
hc,1408,2014-03-27,,,,3356,3356,0,62
hc,1409,2014-03-27,3352,3382,3350,3362,3362,268,886
hc,1410,2014-03-27,3368,3386,3350,3362,3364,40230,61430
hc,1411,2014-03-27,,,,3352,3352,0,2
hc,1412,2014-03-27,,,,3354,3354,0,0
hc,1501,2014-03-27,3394,3414,3382,3400,3396,574,3124
hc,1502,2014-03-27,,,,3384,3384,0,0
hc,1503,2014-03-27,,,,3382,3382,0,2
hc,1407,2014-03-28,,,,3356,3356,0,140
hc,1408,2014-03-28,,,,3364,3364,0,62
hc,1409,2014-03-28,3364,3384,3362,3380,3372,140,892
hc,1410,2014-03-28,3376,3386,3360,3382,3372,34290,63080
hc,1411,2014-03-28,,,,3352,3352,0,2
hc,1412,2014-03-28,,,,3354,3354,0,0
hc,1501,2014-03-28,3406,3422,3394,3422,3406,144,3144
hc,1502,2014-03-28,,,,3400,3400,0,0
hc,1503,2014-03-28,,,,3400,3400,0,2
hc,1407,2014-03-31,3394,3400,3394,3400,3396,4,142
hc,1408,2014-03-31,,,,3392,3392,0,62
hc,1409,2014-03-31,3396,3424,3386,3414,3402,262,894
hc,1410,2014-03-31,3396,3422,3382,3410,3402,60970,65640
hc,1411,2014-03-31,,,,3384,3384,0,2
hc,1412,2014-03-31,,,,3402,3402,0,0
hc,1501,2014-03-31,3430,3462,3430,3462,3448,352,3304
hc,1502,2014-03-31,,,,3400,3400,0,0
hc,1503,2014-03-31,,,,3400,3400,0,2
hc,1407,2014-04-01,3404,3404,3404,3404,3404,2,144
hc,1408,2014-04-01,,,,3394,3394,0,62
hc,1409,2014-04-01,3408,3414,3406,3414,3408,56,886
hc,1410,2014-04-01,3412,3418,3396,3414,3406,17896,64136
hc,1411,2014-04-01,,,,3384,3384,0,2
hc,1412,2014-04-01,,,,3414,3414,0,0
hc,1501,2014-04-01,3446,3462,3446,3458,3456,106,3314
hc,1502,2014-04-01,,,,3426,3426,0,0
hc,1503,2014-04-01,,,,3440,3440,0,2
hc,1407,2014-04-02,3380,3410,3380,3410,3394,4,146
hc,1408,2014-04-02,3390,3390,3388,3388,3388,20,62
hc,1409,2014-04-02,3406,3426,3374,3374,3390,882,1270
hc,1410,2014-04-02,3410,3426,3388,3390,3404,28570,68700
