product,delivery,date,open,high,low,close,settlement,volume,open_interest
lu,2101,2020-06-22,2570,2763,2570,2599,2638,130439,24859
lu,2102,2020-06-22,2489,2831,2489,2665,2715,332,79
lu,2103,2020-06-22,2499,2864,2499,2729,2757,223,67
lu,2104,2020-06-22,2673,2892,2673,2777,2785,36,12
lu,2105,2020-06-22,2883,2949,2752,2773,2829,2669,811
lu,2106,2020-06-22,2782,2938,2782,2831,2863,286,82
lu,2101,2020-06-23,2611,2679,2602,2649,2650,144505,33377
lu,2102,2020-06-23,2588,2748,2588,2710,2698,126,69
lu,2103,2020-06-23,2651,2788,2651,2750,2763,24,62
lu,2104,2020-06-23,2750,2797,2716,2772,2775,8,14
lu,2105,2020-06-23,2780,2835,2773,2794,2810,1070,722
lu,2106,2020-06-23,2865,2897,2840,2840,2868,17,81
lu,2101,2020-06-24,2660,2672,2588,2603,2628,79323,34207
lu,2102,2020-06-24,2715,2721,2658,2663,2709,22,60
lu,2103,2020-06-24,2758,2759,2696,2696,2724,17,62
lu,2104,2020-06-24,2737,2737,2680,2735,2716,5,13
lu,2105,2020-06-24,2805,2808,2732,2740,2758,309,735
lu,2106,2020-06-24,2835,2837,2800,2820,2821,15,83
lu,2101,2020-06-29,2577,2577,2486,2514,2518,63816,42496
lu,2102,2020-06-29,2642,2642,2553,2553,2581,10,61
lu,2103,2020-06-29,2639,2639,2639,2639,2639,1,63
lu,2104,2020-06-29,2603,2603,2583,2583,2593,2,11
lu,2105,2020-06-29,2693,2693,2633,2656,2660,327,754
lu,2106,2020-06-29,2752,2752,2711,2732,2732,9,86
lu,2101,2020-06-30,2540,2568,2522,2534,2542,42512,40329
lu,2102,2020-06-30,2595,2623,2582,2603,2595,50,56
lu,2103,2020-06-30,2640,2640,2640,2640,2640,1,63
lu,2104,2020-06-30,,,,2593,2593,0,11
lu,2105,2020-06-30,2665,2707,2662,2671,2683,222,712
lu,2106,2020-06-30,2751,2763,2730,2756,2753,10,88
lu,2101,2020-07-01,2526,2568,2516,2553,2542,28865,39329
lu,2102,2020-07-01,2587,2639,2587,2624,2620,12,54
lu,2103,2020-07-01,2638,2638,2638,2638,2638,1,62
lu,2104,2020-07-01,,,,2591,2591,0,11
lu,2105,2020-07-01,2670,2701,2652,2696,2673,160,676
lu,2106,2020-07-01,2724,2735,2724,2733,2730,5,89
lu,2107,2020-07-01,,,,2730,2730,0,0
lu,2101,2020-07-02,2526,2575,2526,2553,2551,39078,41683
lu,2102,2020-07-02,2621,2621,2599,2599,2604,5,52
lu,2103,2020-07-02,,,,2638,2638,0,62
lu,2104,2020-07-02,,,,2610,2610,0,11
lu,2105,2020-07-02,2696,2699,2674,2691,2685,88,673
lu,2106,2020-07-02,2742,2747,2742,2745,2744,4,89
lu,2107,2020-07-02,,,,2744,2744,0,0
lu,2101,2020-07-03,2560,2613,2560,2589,2587,43286,39595
lu,2102,2020-07-03,2668,2668,2636,2636,2652,2,53
lu,2103,2020-07-03,,,,2638,2638,0,62
lu,2104,2020-07-03,2635,2635,2635,2635,2635,1,10
lu,2105,2020-07-03,2706,2742,2700,2714,2715,94,663
lu,2106,2020-07-03,,,,2773,2773,0,89
lu,2107,2020-07-03,,,,2775,2775,0,0
lu,2101,2020-07-06,2576,2612,2565,2601,2590,30837,37478
lu,2102,2020-07-06,2658,2658,2649,2652,2653,3,51
lu,2103,2020-07-06,2666,2666,2661,2665,2664,6,62
lu,2104,2020-07-06,,,,2646,2646,0,10
lu,2105,2020-07-06,2712,2730,2690,2717,2712,83,668
lu,2106,2020-07-06,2770,2775,2746,2760,2757,20,77
lu,2107,2020-07-06,,,,2759,2759,0,0
lu,2101,2020-07-07,2600,2609,2555,2574,2578,26882,37095
lu,2102,2020-07-07,2666,2666,2644,2644,2647,6,45
lu,2103,2020-07-07,2664,2678,2626,2626,2661,5,58
lu,2104,2020-07-07,,,,2646,2646,0,10
lu,2105,2020-07-07,2715,2727,2688,2688,2705,99,656
lu,2106,2020-07-07,2761,2766,2754,2758,2759,10,76
lu,2107,2020-07-07,,,,2761,2761,0,0
lu,2101,2020-07-08,2575,2591,2564,2570,2577,13873,37052
lu,2102,2020-07-08,2632,2642,2632,2635,2637,8,44
lu,2103,2020-07-08,2652,2658,2631,2631,2648,7,54
lu,2104,2020-07-08,,,,2646,2646,0,10
lu,2105,2020-07-08,2713,2714,2690,2707,2704,33,645
lu,2106,2020-07-08,2796,2797,2751,2752,2773,9,74
lu,2107,2020-07-08,,,,2775,2775,0,0
lu,2101,2020-07-09,2579,2583,2533,2563,2567,14556,36747
lu,2102,2020-07-09,2627,2630,2605,2605,2622,9,43
lu,2103,2020-07-09,2611,2624,2609,2624,2612,7,53
lu,2104,2020-07-09,,,,2646,2646,0,10
lu,2105,2020-07-09,2709,2709,2680,2700,2693,60,646
lu,2106,2020-07-09,2753,2761,2746,2761,2752,12,65
lu,2107,2020-07-09,,,,2754,2754,0,0
lu,2101,2020-07-10,2568,2575,2480,2493,2524,21575,37502
lu,2102,2020-07-10,2572,2584,2564,2564,2573,3,46
lu,2103,2020-07-10,2861,2861,2585,2603,2698,8,53
lu,2104,2020-07-10,,,,2646,2646,0,10
lu,2105,2020-07-10,2690,2690,2622,2645,2644,116,650
lu,2106,2020-07-10,2702,2702,2657,2694,2687,19,55
lu,2107,2020-07-10,,,,2689,2689,0,0
lu,2101,2020-07-13,2511,2557,2507,2542,2534,15256,36363
lu,2102,2020-07-13,2564,2564,2564,2564,2564,1,45
lu,2103,2020-07-13,2594,2600,2594,2600,2597,2,52
lu,2104,2020-07-13,,,,2646,2646,0,10
lu,2105,2020-07-13,2659,2678,2659,2667,2665,90,642
lu,2106,2020-07-13,,,,2709,2709,0,55
lu,2107,2020-07-13,,,,2711,2711,0,0
lu,2101,2020-07-14,2549,2560,2485,2519,2521,18192,38243
lu,2102,2020-07-14,2605,2605,2561,2561,2592,7,42
lu,2103,2020-07-14,,,,2597,2597,0,52
lu,2104,2020-07-14,,,,2646,2646,0,10
lu,2105,2020-07-14,2667,2686,2624,2637,2654,63,641
lu,2106,2020-07-14,2700,2700,2690,2690,2696,3,57
lu,2107,2020-07-14,,,,2698,2698,0,0
lu,2101,2020-07-15,2518,2539,2506,2520,2524,13821,38565
lu,2102,2020-07-15,,,,2592,2592,0,42
lu,2103,2020-07-15,2568,2568,2568,2568,2568,4,48
lu,2104,2020-07-15,,,,2646,2646,0,10
lu,2105,2020-07-15,2649,2679,2642,2642,2653,37,647
lu,2106,2020-07-15,,,,2696,2696,0,57
lu,2107,2020-07-15,,,,2697,2697,0,0
lu,2101,2020-07-16,2529,2540,2503,2510,2518,16460,38007
lu,2102,2020-07-16,,,,2592,2592,0,42
lu,2103,2020-07-16,2544,2577,2540,2540,2550,16,43
lu,2104,2020-07-16,,,,2646,2646,0,10
lu,2105,2020-07-16,2658,2660,2630,2638,2641,35,643
lu,2106,2020-07-16,2691,2691,2691,2691,2691,1,57
lu,2107,2020-07-16,,,,2691,2691,0,0
lu,2101,2020-07-17,2510,2535,2484,2491,2507,19137,38953
lu,2102,2020-07-17,2582,2582,2553,2553,2567,2,42
lu,2103,2020-07-17,2564,2564,2564,2564,2564,1,42
lu,2104,2020-07-17,2414,2414,2414,2414,2414,1,10
lu,2105,2020-07-17,2630,2650,2614,2631,2630,43,648
lu,2106,2020-07-17,,,,2691,2691,0,57
lu,2107,2020-07-17,,,,2680,2680,0,0
lu,2101,2020-07-20,2485,2518,2436,2452,2467,29044,39974
lu,2102,2020-07-20,2537,2557,2528,2546,2542,6,44
lu,2103,2020-07-20,2575,2575,2575,2575,2575,1,41
lu,2104,2020-07-20,2465,2471,2465,2471,2469,4,10
lu,2105,2020-07-20,2640,2644,2573,2596,2598,53,657
lu,2106,2020-07-20,2639,2639,2631,2631,2637,8,57
lu,2107,2020-07-20,,,,2680,2680,0,0
lu,2101,2020-07-21,2456,2487,2436,2487,2464,18480,37574
lu,2102,2020-07-21,2498,2527,2497,2527,2507,3,45
lu,2103,2020-07-21,,,,2575,2575,0,41
lu,2104,2020-07-21,,,,2435,2435,0,10
lu,2105,2020-07-21,2596,2613,2584,2613,2598,64,648
lu,2106,2020-07-21,,,,2637,2637,0,57
lu,2107,2020-07-21,,,,2680,2680,0,0
lu,2101,2020-07-22,2530,2598,2516,2528,2550,37610,36752
lu,2102,2020-07-22,,,,2543,2543,0,45
lu,2103,2020-07-22,2602,2619,2553,2619,2591,3,40
lu,2104,2020-07-22,,,,2450,2450,0,10
lu,2105,2020-07-22,2656,2705,2638,2640,2669,100,615
lu,2106,2020-07-22,,,,2637,2637,0,57
lu,2107,2020-07-22,,,,2680,2680,0,0
lu,2101,2020-07-23,2526,2588,2514,2588,2545,16297,36810
