product,delivery,date,open,high,low,close,settlement,volume,open_interest
ni,1507,2015-03-27,101870,102710,100650,101080,101180,28860,14364
ni,1508,2015-03-27,102710,102710,100040,101210,101270,742,534
ni,1509,2015-03-27,102500,103000,100260,101000,101420,392,156
ni,1510,2015-03-27,102800,102800,99520,101970,101200,20,8
ni,1511,2015-03-27,103500,103500,100820,101260,101690,20,16
ni,1512,2015-03-27,106660,106660,100680,101000,101870,12,8
ni,1601,2015-03-27,107800,107800,100500,101240,101360,120,96
ni,1602,2015-03-27,111190,111190,100530,100900,101260,114,72
ni,1603,2015-03-27,100640,102010,100290,101430,100980,16,12
ni,1507,2015-03-30,99010,100000,96820,98430,98390,66684,34186
ni,1508,2015-03-30,99200,105990,97010,98520,98380,796,952
ni,1509,2015-03-30,100100,100100,97140,98730,98800,574,386
ni,1510,2015-03-30,99070,99070,96970,98650,98490,18,20
ni,1511,2015-03-30,97150,97350,97150,97300,97260,6,14
ni,1512,2015-03-30,99170,99490,98320,99170,99310,64,72
ni,1601,2015-03-30,99810,99860,97890,98610,98860,276,140
ni,1602,2015-03-30,98730,99150,98100,98100,98710,18,78
ni,1603,2015-03-30,99230,100620,97330,99740,98890,60,54
ni,1507,2015-03-31,98000,98200,93840,95040,95950,105600,54888
ni,1508,2015-03-31,97170,98110,94100,94900,95420,2070,2190
ni,1509,2015-03-31,98530,98530,94480,94940,95920,1550,930
ni,1510,2015-03-31,95580,95580,95580,95580,95580,2,20
ni,1511,2015-03-31,97960,97960,95000,96040,96460,64,30
ni,1512,2015-03-31,98360,98560,95280,96220,97160,92,50
ni,1601,2015-03-31,98810,99130,96120,96530,97260,154,192
ni,1602,2015-03-31,99180,99180,96000,97000,97940,30,90
ni,1603,2015-03-31,96100,100270,96100,97100,98280,48,76
ni,1507,2015-04-01,93940,94130,91270,92500,92870,158952,70960
ni,1508,2015-04-01,93840,94090,91600,92700,92910,1256,2406
ni,1509,2015-04-01,93840,94000,91530,92460,92990,1116,1394
ni,1510,2015-04-01,93430,93630,93430,93480,93510,6,24
ni,1511,2015-04-01,94540,94540,92810,92850,93550,76,46
ni,1512,2015-04-01,93660,93660,93240,93240,93460,6,50
ni,1601,2015-04-01,95000,95000,93160,93760,94080,192,198
ni,1602,2015-04-01,,,,97940,97940,0,90
ni,1603,2015-04-01,,,,95500,95500,0,76
ni,1507,2015-04-02,92870,96600,92550,96160,94320,202848,80724
ni,1508,2015-04-02,93090,96150,92500,96000,94220,1456,2008
ni,1509,2015-04-02,93160,96150,92390,95910,94090,1772,1632
ni,1510,2015-04-02,94870,94870,94060,94140,94440,40,36
ni,1511,2015-04-02,94340,96310,94340,96310,95030,60,56
ni,1512,2015-04-02,93870,96280,93740,96040,95450,120,108
ni,1601,2015-04-02,94490,96590,94280,95740,95870,246,256
ni,1602,2015-04-02,96600,96600,96600,96600,96600,12,80
ni,1603,2015-04-02,97160,97450,96850,97300,97200,50,102
ni,1507,2015-04-03,96000,97800,95660,97300,96530,150282,80998
ni,1508,2015-04-03,95550,97800,95500,96900,96390,318,2072
ni,1509,2015-04-03,95720,97210,95450,96840,96140,492,1682
