product,delivery,date,open,high,low,close,settlement,volume,open_interest
nr,2002,2019-08-12,9805,10175,9720,9820,9865,87618,19456
nr,2003,2019-08-12,9700,10115,9700,9735,9890,106,24
nr,2004,2019-08-12,9705,10065,9705,9880,9865,96,26
nr,2005,2019-08-12,9855,10410,9855,9970,10050,8764,3140
nr,2006,2019-08-12,9750,10555,9750,10005,10110,90,34
nr,2007,2019-08-12,9800,10335,9800,10035,10035,28,14
nr,2002,2019-08-13,9780,9980,9775,9855,9855,18956,17864
nr,2003,2019-08-13,,,,9890,9890,0,24
nr,2004,2019-08-13,9895,9955,9895,9955,9925,4,24
nr,2005,2019-08-13,9965,10065,9940,9990,9995,1352,3214
nr,2006,2019-08-13,10025,10030,10025,10030,10025,6,30
nr,2007,2019-08-13,,,,10035,10035,0,14
nr,2002,2019-08-14,9840,10220,9785,9995,9965,37116,23014
nr,2003,2019-08-14,9930,9950,9930,9950,9930,22,24
nr,2004,2019-08-14,10000,10000,10000,10000,10000,8,22
nr,2005,2019-08-14,9965,10355,9930,10140,10090,1964,3492
nr,2006,2019-08-14,,,,10050,10050,0,30
nr,2007,2019-08-14,,,,10100,10100,0,14
nr,2002,2019-08-15,9935,9980,9850,9865,9905,12196,23046
nr,2003,2019-08-15,,,,9930,9930,0,24
nr,2004,2019-08-15,,,,10000,10000,0,22
nr,2005,2019-08-15,10105,10125,10025,10035,10065,962,3708
nr,2006,2019-08-15,10180,10180,10035,10035,10105,4,30
nr,2007,2019-08-15,,,,10100,10100,0,14
nr,2002,2019-08-16,9860,9940,9830,9875,9880,10154,22704
nr,2003,2019-08-16,,,,9930,9930,0,24
nr,2004,2019-08-16,,,,10000,10000,0,22
nr,2005,2019-08-16,10010,10110,9995,10060,10040,750,3754
nr,2006,2019-08-16,,,,10105,10105,0,30
nr,2007,2019-08-16,,,,10100,10100,0,14
nr,2008,2019-08-16,,,,10100,10100,0,0
nr,2002,2019-08-19,9885,10080,9885,10030,9995,13220,25496
nr,2003,2019-08-19,,,,9930,9930,0,24
nr,2004,2019-08-19,10010,10010,10010,10010,10010,2,22
nr,2005,2019-08-19,10095,10250,10070,10200,10175,914,3946
nr,2006,2019-08-19,,,,10105,10105,0,30
nr,2007,2019-08-19,10275,10275,10275,10275,10275,2,16
nr,2008,2019-08-19,,,,10100,10100,0,0
nr,2002,2019-08-20,10030,10035,9945,9975,9985,5090,25008
nr,2003,2019-08-20,,,,9930,9930,0,24
nr,2004,2019-08-20,,,,10010,10010,0,22
nr,2005,2019-08-20,10185,10220,10130,10150,10185,682,4104
nr,2006,2019-08-20,,,,10105,10105,0,30
nr,2007,2019-08-20,10215,10215,10215,10215,10215,2,14
nr,2008,2019-08-20,,,,10100,10100,0,0
nr,2002,2019-08-21,9960,9975,9835,9890,9875,9092,23756
