product,delivery,date,open,high,low,close,settlement,volume,open_interest
ru,0201,2002-01-07,6550,6550,6165,6175,6185,84,238
ru,0203,2002-01-07,6550,6580,6550,6580,6565,410,1030
ru,0204,2002-01-07,6620,6620,6580,6610,6605,220,1244
ru,0205,2002-01-07,0,0,0,6580,6730,0,0
ru,0206,2002-01-07,0,0,0,7700,0,0,0
ru,0207,2002-01-07,0,0,0,7700,0,0,0
ru,0208,2002-01-07,0,0,0,7700,0,0,0
ru,0209,2002-01-07,0,0,0,7700,0,0,0
ru,0210,2002-01-07,0,0,0,7700,0,0,0
ru,0211,2002-01-07,0,0,0,7700,0,0,0
ru,0201,2002-01-08,6200,6200,5995,5995,6040,52,226
ru,0203,2002-01-08,6680,6680,6590,6590,6650,170,1030
ru,0204,2002-01-08,6660,6750,6660,6750,6705,480,1324
ru,0205,2002-01-08,0,0,0,6580,6730,0,0
ru,0206,2002-01-08,0,0,0,7700,0,0,0
ru,0207,2002-01-08,0,0,0,7700,0,0,0
ru,0208,2002-01-08,0,0,0,7700,0,0,0
ru,0209,2002-01-08,0,0,0,7700,0,0,0
ru,0210,2002-01-08,0,0,0,7700,0,0,0
ru,0211,2002-01-08,0,0,0,7700,0,0,0
ru,0201,2002-01-09,0,0,0,5995,6040,0,226
ru,0203,2002-01-09,6650,6650,6560,6590,6595,262,1072
ru,0204,2002-01-09,6750,6820,6740,6820,6770,200,1364
ru,0205,2002-01-09,0,0,0,6580,6730,0,0
ru,0206,2002-01-09,0,0,0,7700,0,0,0
ru,0207,2002-01-09,0,0,0,7700,0,0,0
ru,0208,2002-01-09,0,0,0,7700,0,0,0
ru,0209,2002-01-09,0,0,0,7700,0,0,0
ru,0210,2002-01-09,0,0,0,7700,0,0,0
ru,0211,2002-01-09,0,0,0,7700,0,0,0
ru,0201,2002-01-10,6220,6220,6220,6220,6220,2,224
ru,0203,2002-01-10,6590,6720,6590,6630,6645,296,1116
ru,0204,2002-01-10,6830,6870,6720,6720,6780,440,1394
ru,0205,2002-01-10,0,0,0,6580,6730,0,0
ru,0206,2002-01-10,0,0,0,7700,0,0,0
ru,0207,2002-01-10,0,0,0,7700,0,0,0
