product,delivery,date,open,high,low,close,settlement,volume,open_interest
sc,1811,2018-09-21,520,520,520,520,520,2,24
sc,1812,2018-09-21,533,534.8,529.2,532.1,531.8,267538,43742
sc,1901,2018-09-21,531.4,532.8,531.4,532.6,532.4,14,128
sc,1902,2018-09-21,,,,526.1,526.1,0,20
sc,1903,2018-09-21,533.4,533.4,533.4,533.4,533.4,2,128
sc,1904,2018-09-21,,,,529.8,529.8,,0
sc,1905,2018-09-21,,,,515.7,515.7,,0
sc,1906,2018-09-21,528.4,528.4,528.4,528.4,528.4,2,122
sc,1907,2018-09-21,,,,510.2,510.2,,0
sc,1908,2018-09-21,,,,526.7,526.7,0,2
sc,1909,2018-09-21,,,,525.3,525.3,0,44
sc,1910,2018-09-21,,,,525.3,525.3,,0
sc,1912,2018-09-21,,,,525.2,525.2,0,12
sc,2003,2018-09-21,,,,525.7,525.7,0,10
sc,2006,2018-09-21,,,,526.7,526.7,0,6
sc,2009,2018-09-21,527.7,527.7,527.7,527.7,527.7,2,10
sc,2012,2018-09-21,538.8,538.8,533.8,533.8,536.3,4,6
sc,2103,2018-09-21,,,,530.2,530.2,0,26
sc,2106,2018-09-21,,,,526,526,0,6
sc,2109,2018-09-21,,,,539.5,539.5,0,2
sc,1811,2018-09-25,,,,539.8,539.8,0,24
sc,1812,2018-09-25,542.7,552.3,541.6,549.1,548.9,114378,46736
sc,1901,2018-09-25,548.9,551,548.9,550,550.1,20,128
sc,1902,2018-09-25,,,,543.6,543.6,0,20
sc,1903,2018-09-25,549.9,549.9,549.9,549.9,549.9,2,128
sc,1904,2018-09-25,,,,532.3,532.3,,0
sc,1905,2018-09-25,,,,532.7,532.7,,0
sc,1906,2018-09-25,542.2,547.5,542.2,547.5,543.7,26,116
sc,1907,2018-09-25,,,,531.9,531.9,,0
sc,1908,2018-09-25,,,,542,542,0,2
sc,1909,2018-09-25,546,546,546,546,546,2,44
sc,1910,2018-09-25,,,,533.6,533.6,,0
sc,1912,2018-09-25,,,,528.7,528.7,0,12
sc,2003,2018-09-25,,,,546.4,546.4,0,10
sc,2006,2018-09-25,545.8,545.8,545.8,545.8,545.8,2,6
sc,2009,2018-09-25,544.3,544.3,544.3,544.3,544.3,2,10
sc,2012,2018-09-25,,,,542.2,542.2,0,6
sc,2103,2018-09-25,,,,530.2,530.2,0,26
sc,2106,2018-09-25,,,,527.8,527.8,0,6
sc,2109,2018-09-25,,,,556.4,556.4,0,2
sc,1811,2018-09-26,,,,544,544,0,24
sc,1812,2018-09-26,550.8,555.5,550.6,554.2,553.2,272886,49386
sc,1901,2018-09-26,551.6,554.7,551.4,554.1,553.1,50,126
sc,1902,2018-09-26,557,557,557,557,557,8,12
sc,1903,2018-09-26,554,554.7,552.6,554.7,554,8,126
sc,1904,2018-09-26,,,,536.2,536.2,,0
sc,1905,2018-09-26,,,,532.7,532.7,,0
sc,1906,2018-09-26,,,,548.8,548.8,0,116
sc,1907,2018-09-26,,,,531.9,531.9,,0
sc,1908,2018-09-26,,,,542,542,0,2
sc,1909,2018-09-26,,,,550,550,0,44
sc,1910,2018-09-26,,,,533.6,533.6,,0
sc,1912,2018-09-26,,,,532.6,532.6,0,12
sc,2003,2018-09-26,,,,546.4,546.4,0,10
sc,2006,2018-09-26,,,,545.8,545.8,0,6
sc,2009,2018-09-26,548.7,548.7,548.7,548.7,548.7,2,12
sc,2012,2018-09-26,,,,546.8,546.8,0,6
sc,2103,2018-09-26,,,,534.4,534.4,0,26
sc,2106,2018-09-26,,,,532,532,0,6
sc,2109,2018-09-26,,,,560.8,560.8,0,2
sc,1811,2018-09-27,547,549.8,547,549.8,548.4,4,20
sc,1812,2018-09-27,551,560,550.1,557.7,553.9,302500,46866
sc,1901,2018-09-27,552.6,560.2,550.8,557.2,553.7,48,126
sc,1902,2018-09-27,,,,557,557,0,12
sc,1903,2018-09-27,551.4,558.9,551.4,556.5,557.9,52,128
sc,1904,2018-09-27,,,,540,540,,0
sc,1905,2018-09-27,,,,532.7,532.7,,0
sc,1906,2018-09-27,548.2,555.8,548.2,555.7,552.6,34,120
sc,1907,2018-09-27,,,,534.7,534.7,,0
sc,1908,2018-09-27,,,,542,542,0,2
sc,1909,2018-09-27,554.2,558.4,554.2,558.4,557.6,12,42
sc,1910,2018-09-27,,,,533.6,533.6,,0
sc,1912,2018-09-27,,,,540,540,0,12
sc,2003,2018-09-27,,,,546.4,546.4,0,10
sc,2006,2018-09-27,,,,553.4,553.4,0,6
sc,2009,2018-09-27,,,,556.3,556.3,0,12
sc,2012,2018-09-27,,,,546.8,546.8,0,6
sc,2103,2018-09-27,,,,541.8,541.8,0,26
sc,2106,2018-09-27,,,,539.4,539.4,0,6
sc,2109,2018-09-27,,,,568.6,568.6,0,2
sc,1811,2018-09-28,548,548,545,545,546.2,6,20
sc,1812,2018-09-28,556.8,564.6,551.3,563.6,556,246962,44052
sc,1901,2018-09-28,556.7,559.7,552.7,559.5,557.3,70,138
sc,1902,2018-09-28,,,,557,557,0,12
sc,1903,2018-09-28,555,560,550.8,560,554.1,12,132
sc,1904,2018-09-28,,,,540,540,,0
sc,1905,2018-09-28,,,,532.7,532.7,,0
sc,1906,2018-09-28,551.9,555.1,549.7,553.2,551.9,62,124
sc,1907,2018-09-28,,,,540.2,540.2,,0
sc,1908,2018-09-28,,,,542,542,0,2
sc,1909,2018-09-28,545.1,545.1,545.1,545.1,545.1,2,42
sc,1910,2018-09-28,,,,533.6,533.6,,0
sc,1912,2018-09-28,,,,540,540,0,12
sc,2003,2018-09-28,,,,546.4,546.4,0,10
sc,2006,2018-09-28,,,,553.4,553.4,0,6
