product,delivery,date,open,high,low,close,settlement,volume,open_interest
sn,1507,2015-03-27,120000,120010,115150,119270,119230,1798,608
sn,1508,2015-03-27,116580,122780,116580,119260,119240,10,4
sn,1509,2015-03-27,,,,120190,120190,0,0
sn,1510,2015-03-27,120200,122580,117000,120190,119680,14,6
sn,1511,2015-03-27,,,,120190,120190,0,0
sn,1512,2015-03-27,,,,120190,120190,0,0
sn,1601,2015-03-27,120190,123080,119060,119100,120660,10,2
sn,1602,2015-03-27,,,,120660,120660,0,0
sn,1603,2015-03-27,,,,120660,120660,0,0
sn,1507,2015-03-30,119270,119530,115600,118080,117720,2468,830
sn,1508,2015-03-30,118000,118030,116000,117850,117230,38,8
sn,1509,2015-03-30,117010,117010,117010,117010,117010,2,2
sn,1510,2015-03-30,117730,117730,117730,117730,117730,2,6
sn,1511,2015-03-30,,,,118230,118230,0,0
sn,1512,2015-03-30,,,,118230,118230,0,0
sn,1601,2015-03-30,119100,119100,115840,118280,117740,6,4
sn,1602,2015-03-30,117900,117900,117900,117900,117900,2,2
sn,1603,2015-03-30,,,,117900,117900,0,0
sn,1507,2015-03-31,117650,119800,115960,118160,117790,4522,1176
sn,1508,2015-03-31,,,,117300,117300,0,8
sn,1509,2015-03-31,,,,117080,117080,0,2
sn,1510,2015-03-31,,,,117800,117800,0,6
sn,1511,2015-03-31,,,,118300,118300,0,0
sn,1512,2015-03-31,,,,118300,118300,0,0
sn,1601,2015-03-31,,,,117810,117810,0,4
sn,1602,2015-03-31,,,,117970,117970,0,2
sn,1603,2015-03-31,,,,117970,117970,0,0
sn,1507,2015-04-01,118020,118880,117070,117910,118280,4374,1272
sn,1508,2015-04-01,117770,118000,117770,118000,117840,12,14
sn,1509,2015-04-01,,,,117620,117620,0,2
sn,1510,2015-04-01,118500,118500,118500,118500,118500,2,6
sn,1511,2015-04-01,,,,119000,119000,0,0
sn,1512,2015-04-01,,,,119000,119000,0,0
sn,1601,2015-04-01,,,,118510,118510,0,4
sn,1602,2015-04-01,118470,118470,118470,118470,118470,2,2
sn,1603,2015-04-01,,,,118470,118470,0,0
sn,1507,2015-04-02,117970,119080,117970,118620,118540,2716,1038
sn,1508,2015-04-02,,,,118100,118100,0,14
sn,1509,2015-04-02,,,,117880,117880,0,2
sn,1510,2015-04-02,118700,118700,118480,118480,118650,10,8
sn,1511,2015-04-02,,,,119150,119150,0,0
sn,1512,2015-04-02,,,,119150,119150,0,0
sn,1601,2015-04-02,118790,118790,118790,118790,118790,2,2
sn,1602,2015-04-02,,,,118740,118740,0,2
sn,1603,2015-04-02,,,,118740,118740,0,0
sn,1507,2015-04-03,118810,119470,118560,118850,118950,1390,1000
sn,1508,2015-04-03,,,,118340,118340,0,14
sn,1509,2015-04-03,,,,117880,117880,0,2
sn,1510,2015-04-03,,,,118650,118650,0,8
sn,1511,2015-04-03,,,,119560,119560,0,0
sn,1512,2015-04-03,121280,121280,116680,116680,118980,4,2
sn,1601,2015-04-03,,,,118620,118620,0,2
sn,1602,2015-04-03,,,,118570,118570,0,2
sn,1603,2015-04-03,,,,118570,118570,0,0
sn,1507,2015-04-07,118890,119090,118270,118860,118630,848,904
sn,1508,2015-04-07,,,,118340,118340,0,14
sn,1509,2015-04-07,,,,117560,117560,0,2
sn,1510,2015-04-07,,,,118330,118330,0,8
sn,1511,2015-04-07,,,,119230,119230,0,0
sn,1512,2015-04-07,,,,118660,118660,0,2
sn,1601,2015-04-07,,,,118300,118300,0,2
sn,1602,2015-04-07,,,,118250,118250,0,2
sn,1603,2015-04-07,,,,118250,118250,0,0
sn,1507,2015-04-08,118710,118890,117150,117870,118200,848,750
sn,1508,2015-04-08,,,,118040,118040,0,14
sn,1509,2015-04-08,121070,121080,117370,117370,119220,8,2
sn,1510,2015-04-08,,,,120000,120000,0,8
sn,1511,2015-04-08,,,,120910,120910,0,0
sn,1512,2015-04-08,,,,120340,120340,0,2
sn,1601,2015-04-08,118730,118730,118420,118420,118570,4,4
sn,1602,2015-04-08,,,,118520,118520,0,2
