product,delivery,date,open,high,low,close,settlement,volume,open_interest
sp,1906,2018-11-27,5828,5830,5382,5382,5558,471124,78270
sp,1907,2018-11-27,5898,5968,5382,5386,5636,194,74
sp,1908,2018-11-27,5964,5964,5382,5382,5674,78,24
sp,1909,2018-11-27,5900,5900,5382,5382,5574,12496,4842
sp,1910,2018-11-27,5948,5948,5382,5382,5696,242,72
sp,1911,2018-11-27,6020,6020,5382,5382,5650,120,50
sp,1906,2018-11-28,5300,5314,5142,5184,5222,1027208,101512
sp,1907,2018-11-28,5354,5354,5354,5354,5354,32,58
sp,1908,2018-11-28,5284,5334,5220,5238,5232,188,28
sp,1909,2018-11-28,5188,5380,5134,5156,5190,24742,8304
sp,1910,2018-11-28,5262,5298,5240,5240,5244,314,152
sp,1911,2018-11-28,5302,5308,5198,5216,5226,208,82
sp,1906,2018-11-29,5160,5294,5122,5188,5218,985508,110832
sp,1907,2018-11-29,5110,5270,5110,5138,5226,332,56
sp,1908,2018-11-29,5194,5238,5104,5156,5170,46,32
sp,1909,2018-11-29,5122,5210,5052,5110,5134,25066,12498
sp,1910,2018-11-29,5200,5250,5054,5104,5148,268,148
sp,1911,2018-11-29,5198,5232,5072,5128,5152,122,86
sp,1906,2018-11-30,5208,5220,5114,5148,5168,897506,134838
sp,1907,2018-11-30,5166,5166,5166,5166,5166,2,56
sp,1908,2018-11-30,5140,5184,5114,5114,5142,38,32
sp,1909,2018-11-30,5130,5130,5056,5082,5090,14348,12938
sp,1910,2018-11-30,5100,5118,5060,5080,5090,108,134
sp,1911,2018-11-30,5102,5114,5078,5114,5094,48,72
sp,1906,2018-12-03,5158,5262,4970,4978,5076,1415596,207934
sp,1907,2018-12-03,5098,5300,5008,5016,5144,86,54
sp,1908,2018-12-03,5098,5294,4980,4986,5080,92,22
sp,1909,2018-12-03,5076,5208,4930,4940,5036,33270,17048
sp,1910,2018-12-03,5040,5180,4952,4952,5044,234,104
sp,1911,2018-12-03,5038,5100,4950,4950,5004,52,84
sp,1906,2018-12-04,4978,5114,4978,5058,5036,1129600,188012
sp,1907,2018-12-04,5000,5064,5000,5064,5038,24,54
sp,1908,2018-12-04,4996,5088,4996,5088,5032,8,22
sp,1909,2018-12-04,4944,5032,4942,5000,4978,22650,17472
sp,1910,2018-12-04,4948,5024,4948,5010,4986,78,108
sp,1911,2018-12-04,4982,5016,4956,5016,4984,40,78
sp,1906,2018-12-05,5060,5158,5040,5140,5104,1494318,166492
sp,1907,2018-12-05,5136,5166,5070,5102,5112,34,52
sp,1908,2018-12-05,5070,5094,5026,5054,5060,26,22
sp,1909,2018-12-05,5000,5058,4970,5026,5012,34820,18802
sp,1910,2018-12-05,5006,5050,4982,5028,5024,84,108
sp,1911,2018-12-05,5050,5050,4974,5000,5006,48,78
sp,1906,2018-12-06,5150,5264,5128,5132,5192,1621966,172558
sp,1907,2018-12-06,5188,5262,5162,5162,5196,24,52
sp,1908,2018-12-06,5138,5138,5066,5066,5092,10,20
sp,1909,2018-12-06,5046,5112,5010,5012,5056,34672,18054
sp,1910,2018-12-06,5024,5096,5020,5020,5070,134,110
sp,1911,2018-12-06,5050,5088,5050,5050,5060,16,84
sp,1906,2018-12-07,5112,5208,5086,5138,5150,1295042,175492
sp,1907,2018-12-07,5110,5140,5110,5140,5122,6,54
sp,1908,2018-12-07,5024,5062,5024,5062,5044,12,18
sp,1909,2018-12-07,5010,5046,4978,5008,5014,24736,19082
sp,1910,2018-12-07,5014,5042,4960,4998,4998,44,108
sp,1911,2018-12-07,5010,5064,5010,5020,5022,38,86
sp,1906,2018-12-10,5150,5224,5136,5166,5182,1094212,174892
sp,1907,2018-12-10,5180,5202,5134,5142,5164,18,50
sp,1908,2018-12-10,,,,5044,5044,0,18
sp,1909,2018-12-10,5014,5052,5002,5018,5028,20140,19116
sp,1910,2018-12-10,5032,5046,4968,5018,5022,48,110
sp,1911,2018-12-10,5014,5014,5008,5008,5010,4,90
sp,1906,2018-12-11,5160,5198,5074,5094,5128,1022112,178926
sp,1907,2018-12-11,5180,5180,5102,5102,5140,8,52
sp,1908,2018-12-11,5088,5088,5062,5066,5074,14,12
sp,1909,2018-12-11,5026,5042,4970,4976,5006,20296,19866
sp,1910,2018-12-11,5036,5036,4974,4988,5010,28,116
sp,1911,2018-12-11,5026,5032,4988,4994,4998,34,90
sp,1906,2018-12-12,5112,5152,5104,5138,5128,598704,160768
