product,delivery,date,open,high,low,close,settlement,volume,open_interest
ss,2002,2019-09-25,15575,15760,15280,15575,15555,186460,21358
ss,2003,2019-09-25,15600,15685,15250,15420,15455,450,58
ss,2004,2019-09-25,15320,15505,15065,15455,15275,50,6
ss,2005,2019-09-25,15090,15435,14980,15200,15220,7784,1710
ss,2006,2019-09-25,15625,15625,15065,15160,15300,184,88
ss,2007,2019-09-25,15535,15535,14895,15200,15220,46,20
ss,2008,2019-09-25,15120,15845,15100,15300,15415,46,6
ss,2009,2019-09-25,15585,15585,15000,15045,15185,220,116
ss,2002,2019-09-26,15565,15935,15550,15705,15715,106728,19368
ss,2003,2019-09-26,15590,15760,15500,15500,15655,22,58
ss,2004,2019-09-26,,,,15350,15350,0,6
ss,2005,2019-09-26,15180,15500,15175,15380,15340,2836,1830
ss,2006,2019-09-26,15250,15425,15250,15340,15365,12,82
ss,2007,2019-09-26,15310,15310,15310,15310,15310,2,20
ss,2008,2019-09-26,15180,15180,15180,15180,15180,2,6
ss,2009,2019-09-26,15050,15320,15050,15155,15140,134,84
ss,2002,2019-09-27,15715,15800,15580,15725,15675,28334,15904
ss,2003,2019-09-27,15445,15625,15445,15625,15540,44,44
ss,2004,2019-09-27,15320,15320,15320,15320,15320,2,6
ss,2005,2019-09-27,15400,15440,15260,15425,15365,1526,1722
ss,2006,2019-09-27,15370,15475,15370,15390,15390,16,78
ss,2007,2019-09-27,15295,15295,15295,15295,15295,2,20
ss,2008,2019-09-27,15370,15370,15370,15370,15370,2,4
ss,2009,2019-09-27,15705,15705,15105,15175,15215,48,80
ss,2002,2019-09-30,15735,15790,15635,15700,15695,15514,14590
ss,2003,2019-09-30,15495,15495,15495,15495,15495,2,44
ss,2004,2019-09-30,15515,15905,15515,15550,15615,26,4
ss,2005,2019-09-30,15430,15470,15335,15395,15390,434,1686
ss,2006,2019-09-30,15415,15415,15350,15350,15390,6,74
ss,2007,2019-09-30,15245,15245,15245,15245,15245,10,10
ss,2008,2019-09-30,,,,15370,15370,0,4
ss,2009,2019-09-30,15155,15190,15155,15160,15165,8,78
ss,2002,2019-10-08,15630,15800,15545,15675,15645,7400,14614
ss,2003,2019-10-08,15405,15595,15405,15595,15500,4,42
ss,2004,2019-10-08,,,,15615,15615,0,4
ss,2005,2019-10-08,15495,15505,15235,15390,15330,748,1540
ss,2006,2019-10-08,,,,15390,15390,0,74
ss,2007,2019-10-08,,,,15245,15245,0,10
ss,2008,2019-10-08,15375,15375,15340,15340,15355,4,2
ss,2009,2019-10-08,15165,15165,15095,15095,15115,10,78
ss,2002,2019-10-09,15630,15695,15630,15675,15665,4898,14500
ss,2003,2019-10-09,,,,15500,15500,0,42
ss,2004,2019-10-09,15580,15580,15580,15580,15580,4,8
ss,2005,2019-10-09,15365,15465,15365,15395,15390,190,1504
ss,2006,2019-10-09,,,,15390,15390,0,74
ss,2007,2019-10-09,,,,15245,15245,0,10
ss,2008,2019-10-09,,,,15355,15355,0,2
ss,2009,2019-10-09,15175,15175,15175,15175,15175,2,76
ss,2002,2019-10-10,15685,15895,15600,15765,15690,11566,15286
ss,2003,2019-10-10,,,,15500,15500,0,42
ss,2004,2019-10-10,,,,15580,15580,0,8
ss,2005,2019-10-10,15435,15495,15345,15485,15430,492,1536
ss,2006,2019-10-10,15400,15420,15360,15420,15395,32,44
ss,2007,2019-10-10,15310,15310,15310,15310,15310,2,10
ss,2008,2019-10-10,,,,15355,15355,0,2
ss,2009,2019-10-10,15105,15275,15105,15265,15230,22,78
ss,2002,2019-10-11,15800,15800,15705,15745,15745,7914,14654
ss,2003,2019-10-11,15605,15620,15605,15620,15610,4,42
ss,2004,2019-10-11,,,,15580,15580,0,8
ss,2005,2019-10-11,15485,15525,15445,15450,15480,304,1542
ss,2006,2019-10-11,15400,15400,15400,15400,15400,6,44
ss,2007,2019-10-11,,,,15330,15330,0,10
ss,2008,2019-10-11,15420,15420,15420,15420,15420,2,2
ss,2009,2019-10-11,,,,15230,15230,0,78
ss,2002,2019-10-14,15775,15830,15735,15765,15775,9842,14774
ss,2003,2019-10-14,,,,15610,15610,0,42
ss,2004,2019-10-14,,,,15580,15580,0,8
ss,2005,2019-10-14,15400,15565,15400,15515,15485,252,1554
ss,2006,2019-10-14,15420,15420,15390,15390,15410,6,44
ss,2007,2019-10-14,,,,15330,15330,0,10
ss,2008,2019-10-14,,,,15420,15420,0,2
ss,2009,2019-10-14,15275,15330,15200,15200,15270,10,80
ss,2002,2019-10-15,15735,15820,15165,15440,15530,23070,14770
ss,2003,2019-10-15,15530,15530,15065,15525,15250,12,42
ss,2004,2019-10-15,,,,15460,15460,0,8
ss,2005,2019-10-15,15470,15530,14960,15225,15290,782,1656
ss,2006,2019-10-15,14980,15190,14955,15190,15075,16,52
