product,delivery,date,open,high,low,close,settlement,volume,open_interest
wr,0909,2009-03-27,3400,3500,3361,3398,3409,105070,12430
wr,0910,2009-03-27,3375,3480,3375,3414,3418,916,342
wr,0911,2009-03-27,3310,3495,3310,3402,3393,364,122
wr,0912,2009-03-27,3408,3460,3334,3403,3422,68,38
wr,1001,2009-03-27,3412,3515,3302,3460,3439,186,44
wr,1002,2009-03-27,3413,3498,3368,3458,3432,82,34
wr,1003,2009-03-27,3363,3499,3363,3476,3457,186,64
wr,0909,2009-03-30,3381,3437,3381,3417,3416,46374,13722
wr,0910,2009-03-30,3439,3439,3395,3395,3432,34,326
wr,0911,2009-03-30,,,,3393,3393,0,122
wr,0912,2009-03-30,3487,3487,3429,3472,3472,10,36
wr,1001,2009-03-30,3495,3495,3443,3443,3451,16,30
wr,1002,2009-03-30,,,,3442,3442,0,34
wr,1003,2009-03-30,3488,3515,3434,3490,3470,24,54
wr,0909,2009-03-31,3410,3425,3401,3419,3413,15124,13466
wr,0910,2009-03-31,3597,3597,3412,3442,3438,106,274
wr,0911,2009-03-31,3401,3449,3401,3449,3418,16,126
wr,0912,2009-03-31,3478,3478,3448,3450,3456,26,32
wr,1001,2009-03-31,3470,3470,3450,3450,3460,8,32
wr,1002,2009-03-31,3498,3498,3463,3471,3473,22,34
wr,1003,2009-03-31,3518,3540,3501,3539,3528,46,64
wr,0909,2009-04-01,3423,3423,3407,3409,3412,6708,12012
wr,0910,2009-04-01,3442,3449,3439,3448,3443,26,260
wr,0911,2009-04-01,3440,3441,3401,3439,3432,10,124
wr,0912,2009-04-01,,,,3456,3456,0,32
wr,1001,2009-04-01,3450,3450,3450,3450,3450,2,32
wr,1002,2009-04-01,3460,3493,3421,3493,3448,8,38
wr,1003,2009-04-01,3552,3552,3539,3545,3542,42,78
wr,0909,2009-04-02,3400,3413,3336,3351,3364,29940,14688
wr,0910,2009-04-02,3400,3439,3380,3390,3399,212,274
wr,0911,2009-04-02,3417,3449,3400,3400,3428,22,124
wr,0912,2009-04-02,3406,3406,3406,3406,3406,2,30
wr,1001,2009-04-02,3421,3421,3420,3420,3420,4,32
wr,1002,2009-04-02,3430,3439,3416,3420,3427,22,40
wr,1003,2009-04-02,3512,3522,3494,3494,3509,18,74
wr,0909,2009-04-03,3364,3364,3313,3323,3332,22776,18276
wr,0910,2009-04-03,3356,3374,3345,3370,3359,252,310
wr,0911,2009-04-03,3410,3410,3410,3410,3410,6,124
wr,0912,2009-04-03,3458,3458,3406,3438,3435,116,120
wr,1001,2009-04-03,3415,3435,3415,3435,3425,4,30
wr,1002,2009-04-03,3450,3598,3450,3598,3524,4,42
wr,1003,2009-04-03,3500,3520,3480,3481,3488,136,148
wr,0909,2009-04-07,3303,3370,3303,3355,3344,29046,22220
wr,0910,2009-04-07,3355,3470,3344,3411,3375,116,342
wr,0911,2009-04-07,,,,3426,3426,0,124
wr,0912,2009-04-07,3449,3450,3449,3450,3449,14,120
wr,1001,2009-04-07,3410,3430,3410,3430,3420,4,26
wr,1002,2009-04-07,3416,3518,3416,3475,3473,20,44
wr,1003,2009-04-07,3517,3550,3507,3546,3521,58,172
wr,0909,2009-04-08,3349,3359,3330,3335,3341,12312,21682
wr,0910,2009-04-08,3391,3410,3360,3371,3398,18,342
wr,0911,2009-04-08,3550,3550,3405,3429,3455,18,122
wr,0912,2009-04-08,,,,3449,3449,0,120
wr,1001,2009-04-08,3422,3422,3422,3422,3422,2,26
wr,1002,2009-04-08,,,,3473,3473,0,44
wr,1003,2009-04-08,3507,3507,3507,3507,3507,2,170
wr,0909,2009-04-09,3341,3358,3330,3343,3342,8942,22718
wr,0910,2009-04-09,3379,3388,3373,3388,3378,52,372
wr,0911,2009-04-09,3387,3390,3387,3390,3389,6,120
wr,0912,2009-04-09,,,,3383,3383,0,120
wr,1001,2009-04-09,,,,3440,3440,0,26
wr,1002,2009-04-09,,,,3473,3473,0,44
wr,1003,2009-04-09,3553,3554,3553,3553,3553,6,172
wr,0909,2009-04-10,3355,3360,3341,3353,3350,11020,23140
wr,0910,2009-04-10,3388,3430,3340,3383,3394,110,444
wr,0911,2009-04-10,3558,3558,3429,3435,3459,104,202
wr,0912,2009-04-10,3548,3548,3506,3516,3527,82,124
wr,1001,2009-04-10,3465,3500,3465,3500,3477,14,28
wr,1002,2009-04-10,3485,3485,3485,3485,3485,4,40
