product,delivery,date,open,high,low,close,settlement,volume,open_interest
zn,0707,2007-03-26,28600,29600,28580,29220,29200,16786,4640
zn,0708,2007-03-26,28000,29500,28000,29080,28840,3338,834
zn,0709,2007-03-26,28000,29400,28000,28915,28590,1224,408
zn,0710,2007-03-26,28800,29250,28500,29060,28920,254,182
zn,0711,2007-03-26,,,,28510,28510,0,0
zn,0712,2007-03-26,,,,28510,28510,0,0
zn,0801,2007-03-26,,,,28510,28510,0,0
zn,0802,2007-03-26,,,,28510,28510,0,0
zn,0803,2007-03-26,28700,28700,28700,28700,28700,4,4
zn,0707,2007-03-27,29550,29870,29500,29725,29685,16046,6346
zn,0708,2007-03-27,29690,29690,29300,29570,29485,932,994
zn,0709,2007-03-27,28915,29450,28915,29200,29295,204,434
zn,0710,2007-03-27,29450,29450,29105,29450,29270,12,184
zn,0711,2007-03-27,,,,28510,28510,0,0
zn,0712,2007-03-27,,,,28510,28510,0,0
zn,0801,2007-03-27,,,,28510,28510,0,0
zn,0802,2007-03-27,,,,28510,28510,0,0
zn,0803,2007-03-27,28880,28880,28880,28880,28880,4,4
zn,0707,2007-03-28,29495,29700,29420,29565,29535,8506,7048
zn,0708,2007-03-28,29300,29550,29200,29450,29340,394,996
zn,0709,2007-03-28,28920,29210,28920,29200,29095,100,432
zn,0710,2007-03-28,29180,29180,29075,29075,29120,26,186
zn,0711,2007-03-28,,,,28510,28510,0,0
zn,0712,2007-03-28,,,,28510,28510,0,0
zn,0801,2007-03-28,,,,28510,28510,0,0
zn,0802,2007-03-28,,,,28510,28510,0,0
zn,0803,2007-03-28,,,,28880,28880,0,4
zn,0707,2007-03-29,29510,29560,29010,29030,29280,8742,7988
zn,0708,2007-03-29,29320,29320,29100,29100,29215,340,952
zn,0709,2007-03-29,29105,29160,29020,29100,29100,96,438
zn,0710,2007-03-29,29105,29120,29050,29120,29090,12,184
zn,0711,2007-03-29,,,,28510,28510,0,0
zn,0712,2007-03-29,,,,28510,28510,0,0
zn,0801,2007-03-29,,,,28510,28510,0,0
zn,0802,2007-03-29,,,,28510,28510,0,0
zn,0803,2007-03-29,,,,28880,28880,0,4
zn,0707,2007-03-30,29430,29500,29180,29390,29365,13758,9178
zn,0708,2007-03-30,29310,29500,29260,29420,29395,254,938
